,Unnamed: 0,tg,lon,lat,twcrPath,era20cPath,eraintPath,merraPath
0,0,"aasiaat,greenland_001.csv",-52.883,68.71,"./20cr/aasiaat,greenland_001.7z","./era20c/aasiaat,greenland_001.7z","./eraint/aasiaat,greenland_001.7z","./merra/aasiaat,greenland_001.7z"
1,1,abashiri_japan.csv,144.28,44.016999999999996,./20cr/abashiri_japan.7z,./era20c/abashiri_japan.7z,./eraint/abashiri_japan.7z,./merra/abashiri_japan.7z
2,2,aberdeen_p038_uk.csv,-2.0745,57.143,./20cr/aberdeen_p038_uk.7z,./era20c/aberdeen_p038_uk.7z,./eraint/aberdeen_p038_uk.7z,./merra/aberdeen_p038_uk.7z
3,3,abidjan_vridi_230a_ivory_coast.csv,-4.0,5.2417,./20cr/abidjan_vridi_230a_ivory_coast.7z,./era20c/abidjan_vridi_230a_ivory_coast.7z,./eraint/abidjan_vridi_230a_ivory_coast.7z,./merra/abidjan_vridi_230a_ivory_coast.7z
4,4,aburatsu_japan.csv,131.42,31.566999999999997,./20cr/aburatsu_japan.7z,./era20c/aburatsu_japan.7z,./eraint/aburatsu_japan.7z,./merra/aburatsu_japan.7z
5,5,acajutla_c_082c_el_salvador.csv,-89.833,13.583,./20cr/acajutla_c_082c_el_salvador.7z,./era20c/acajutla_c_082c_el_salvador.7z,./eraint/acajutla_c_082c_el_salvador.7z,./merra/acajutla_c_082c_el_salvador.7z
6,6,"acapulco_c,gro._316c_mexico.csv",-99.912,16.84,"./20cr/acapulco_c,gro._316c_mexico.7z","./era20c/acapulco_c,gro._316c_mexico.7z","./eraint/acapulco_c,gro._316c_mexico.7z","./merra/acapulco_c,gro._316c_mexico.7z"
7,7,"adak,alaska_040a_usa.csv",-176.63,51.863,"./20cr/adak,alaska_040a_usa.7z","./era20c/adak,alaska_040a_usa.7z","./eraint/adak,alaska_040a_usa.7z","./merra/adak,alaska_040a_usa.7z"
8,8,"aden_172a_yemen,_p.d.r.csv",44.975,12.788,"./20cr/aden_172a_yemen,_p.d.r.7z","./era20c/aden_172a_yemen,_p.d.r.7z","./eraint/aden_172a_yemen,_p.d.r.7z","./merra/aden_172a_yemen,_p.d.r.7z"
9,9,"aguadilla,pr_263a_usa.csv",-67.163,18.457,"./20cr/aguadilla,pr_263a_usa.7z","./era20c/aguadilla,pr_263a_usa.7z","./eraint/aguadilla,pr_263a_usa.7z","./merra/aguadilla,pr_263a_usa.7z"
10,10,ajaccio_aspretto_france.csv,8.7628,41.923,./20cr/ajaccio_aspretto_france.7z,./era20c/ajaccio_aspretto_france.7z,./eraint/ajaccio_aspretto_france.7z,./merra/ajaccio_aspretto_france.7z
11,11,akabane_japan.csv,137.18,34.6,./20cr/akabane_japan.7z,./era20c/akabane_japan.7z,./eraint/akabane_japan.7z,./merra/akabane_japan.7z
12,12,akyab__sittwe__907a_myanmar.csv,92.90299999999999,20.14,./20cr/akyab__sittwe__907a_myanmar.7z,./era20c/akyab__sittwe__907a_myanmar.7z,./eraint/akyab__sittwe__907a_myanmar.7z,./merra/akyab__sittwe__907a_myanmar.7z
13,13,alameda_navalairstation__usa.csv,-122.3,37.772,./20cr/alameda_navalairstation__usa.7z,./era20c/alameda_navalairstation__usa.7z,./eraint/alameda_navalairstation__usa.7z,./merra/alameda_navalairstation__usa.7z
14,14,albany_001_australia.csv,117.88,-35.024,./20cr/albany_001_australia.7z,./era20c/albany_001_australia.7z,./eraint/albany_001_australia.7z,./merra/albany_001_australia.7z
15,15,alcudia_alcudia_spain.csv,3.1392,39.835,./20cr/alcudia_alcudia_spain.7z,./era20c/alcudia_alcudia_spain.7z,./eraint/alcudia_alcudia_spain.7z,./merra/alcudia_alcudia_spain.7z
16,16,"alertbay,bc_08280_canada.csv",-126.93,50.586999999999996,"./20cr/alertbay,bc_08280_canada.7z","./era20c/alertbay,bc_08280_canada.7z",,
17,17,alexandria_330071_egypt.csv,29.916999999999998,31.217,./20cr/alexandria_330071_egypt.7z,./era20c/alexandria_330071_egypt.7z,,
18,18,algeciras_alge_spain.csv,-5.4333,36.117,./20cr/algeciras_alge_spain.7z,./era20c/algeciras_alge_spain.7z,./eraint/algeciras_alge_spain.7z,./merra/algeciras_alge_spain.7z
19,19,almeria_almeria_spain.csv,-2.478,36.83,./20cr/almeria_almeria_spain.7z,./era20c/almeria_almeria_spain.7z,./eraint/almeria_almeria_spain.7z,./merra/almeria_almeria_spain.7z
20,20,alotau_069a_papua_new_guinea.csv,150.45,-10.168,./20cr/alotau_069a_papua_new_guinea.7z,./era20c/alotau_069a_papua_new_guinea.7z,./eraint/alotau_069a_papua_new_guinea.7z,./merra/alotau_069a_papua_new_guinea.7z
21,21,amami_japan.csv,129.53,28.316999999999997,./20cr/amami_japan.7z,./era20c/amami_japan.7z,./eraint/amami_japan.7z,./merra/amami_japan.7z
22,22,ambon_b_133b_indonesia.csv,128.18,-3.6833,./20cr/ambon_b_133b_indonesia.7z,./era20c/ambon_b_133b_indonesia.7z,./eraint/ambon_b_133b_indonesia.7z,./merra/ambon_b_133b_indonesia.7z
23,23,"ammassalik,greenland_001.csv",-37.0,65.5,"./20cr/ammassalik,greenland_001.7z","./era20c/ammassalik,greenland_001.7z","./eraint/ammassalik,greenland_001.7z","./merra/ammassalik,greenland_001.7z"
24,24,ammassalik_297a_denmark.csv,-37.0,65.6,./20cr/ammassalik_297a_denmark.7z,./era20c/ammassalik_297a_denmark.7z,./eraint/ammassalik_297a_denmark.7z,./merra/ammassalik_297a_denmark.7z
25,25,anchorage_usa.csv,-149.89,61.238,./20cr/anchorage_usa.7z,./era20c/anchorage_usa.7z,./eraint/anchorage_usa.7z,./merra/anchorage_usa.7z
26,26,ancona_ancona_italy.csv,13.505999999999998,43.625,./20cr/ancona_ancona_italy.7z,./era20c/ancona_ancona_italy.7z,./eraint/ancona_ancona_italy.7z,./merra/ancona_ancona_italy.7z
27,27,andenes_001.csv,16.15,69.317,./20cr/andenes_001.7z,./era20c/andenes_001.7z,./eraint/andenes_001.7z,./merra/andenes_001.7z
28,28,anewa_bay_048a_papua_new_guinea.csv,155.88,-6.1833,./20cr/anewa_bay_048a_papua_new_guinea.7z,./era20c/anewa_bay_048a_papua_new_guinea.7z,,
29,29,angra_heroismo_b_215b_portugal.csv,-27.24,38.65,./20cr/angra_heroismo_b_215b_portugal.7z,./era20c/angra_heroismo_b_215b_portugal.7z,./eraint/angra_heroismo_b_215b_portugal.7z,./merra/angra_heroismo_b_215b_portugal.7z
30,30,annapolis_navalacademy__usa.csv,-76.482,38.983000000000004,./20cr/annapolis_navalacademy__usa.7z,./era20c/annapolis_navalacademy__usa.7z,./eraint/annapolis_navalacademy__usa.7z,./merra/annapolis_navalacademy__usa.7z
31,31,antalya_anta_turkey.csv,30.616999999999997,36.833,./20cr/antalya_anta_turkey.7z,./era20c/antalya_anta_turkey.7z,,
32,32,antofagasta_080a_chile.csv,-70.4,-23.65,./20cr/antofagasta_080a_chile.7z,./era20c/antofagasta_080a_chile.7z,./eraint/antofagasta_080a_chile.7z,./merra/antofagasta_080a_chile.7z
33,33,apalachicola_usa.csv,-84.98200000000001,29.726999999999997,./20cr/apalachicola_usa.7z,./era20c/apalachicola_usa.7z,./eraint/apalachicola_usa.7z,./merra/apalachicola_usa.7z
34,34,apia_b_401b_western_samoa.csv,-171.75,-13.817,./20cr/apia_b_401b_western_samoa.7z,./era20c/apia_b_401b_western_samoa.7z,./eraint/apia_b_401b_western_samoa.7z,./merra/apia_b_401b_western_samoa.7z
35,35,arcachon_eyrac_.csv,-1.1636,44.665,./20cr/arcachon_eyrac_.7z,./era20c/arcachon_eyrac_.7z,./eraint/arcachon_eyrac_.7z,./merra/arcachon_eyrac_.7z
36,36,"arecibo,_pr_735a_usa.csv",-66.702,18.48,"./20cr/arecibo,_pr_735a_usa.7z","./era20c/arecibo,_pr_735a_usa.7z","./eraint/arecibo,_pr_735a_usa.7z","./merra/arecibo,_pr_735a_usa.7z"
37,37,"arena_cove,_ca_573a_usa.csv",-123.71,38.913000000000004,"./20cr/arena_cove,_ca_573a_usa.7z","./era20c/arena_cove,_ca_573a_usa.7z","./eraint/arena_cove,_ca_573a_usa.7z","./merra/arena_cove,_ca_573a_usa.7z"
38,38,"argentia,nf_00835_canada.csv",-53.983000000000004,47.3,"./20cr/argentia,nf_00835_canada.7z","./era20c/argentia,nf_00835_canada.7z","./eraint/argentia,nf_00835_canada.7z","./merra/argentia,nf_00835_canada.7z"
39,39,arica_083a_chile.csv,-70.333,-18.467,./20cr/arica_083a_chile.7z,./era20c/arica_083a_chile.7z,./eraint/arica_083a_chile.7z,./merra/arica_083a_chile.7z
40,40,arrecife_arre_spain.csv,-13.53,28.971999999999998,./20cr/arrecife_arre_spain.7z,./era20c/arrecife_arre_spain.7z,./eraint/arrecife_arre_spain.7z,./merra/arrecife_arre_spain.7z
41,41,ascension_uk.csv,-14.417,-7.9167,./20cr/ascension_uk.7z,./era20c/ascension_uk.7z,./eraint/ascension_uk.7z,./merra/ascension_uk.7z
42,42,"astoria,or_572a_usa.csv",-123.77,46.208,"./20cr/astoria,or_572a_usa.7z","./era20c/astoria,or_572a_usa.7z","./eraint/astoria,or_572a_usa.7z","./merra/astoria,or_572a_usa.7z"
43,43,atlantic_city_264a_usa.csv,-74.418,39.355,./20cr/atlantic_city_264a_usa.7z,./era20c/atlantic_city_264a_usa.7z,./eraint/atlantic_city_264a_usa.7z,./merra/atlantic_city_264a_usa.7z
44,44,auckland_070a_new_zealand.csv,174.77,-36.85,./20cr/auckland_070a_new_zealand.7z,./era20c/auckland_070a_new_zealand.7z,./eraint/auckland_070a_new_zealand.7z,./merra/auckland_070a_new_zealand.7z
45,45,avonmouth_p060_uk.csv,-2.715,51.511,./20cr/avonmouth_p060_uk.7z,./era20c/avonmouth_p060_uk.7z,./eraint/avonmouth_p060_uk.7z,./merra/avonmouth_p060_uk.7z
46,46,awayuki_japan.csv,134.6,33.766999999999996,./20cr/awayuki_japan.7z,./era20c/awayuki_japan.7z,./eraint/awayuki_japan.7z,./merra/awayuki_japan.7z
47,47,ayukawa_japan.csv,141.5,38.3,./20cr/ayukawa_japan.7z,./era20c/ayukawa_japan.7z,./eraint/ayukawa_japan.7z,./merra/ayukawa_japan.7z
48,48,bahia_los_angeles_310a_mexico.csv,-113.55,28.958000000000002,./20cr/bahia_los_angeles_310a_mexico.7z,./era20c/bahia_los_angeles_310a_mexico.7z,./eraint/bahia_los_angeles_310a_mexico.7z,./merra/bahia_los_angeles_310a_mexico.7z
49,49,bajor_414a_indonesia.csv,117.42,-0.6833,./20cr/bajor_414a_indonesia.7z,./era20c/bajor_414a_indonesia.7z,,
50,50,bakar_bakar_I_croatia.csv,14.533,45.3,./20cr/bakar_bakar_I_croatia.7z,./era20c/bakar_bakar_I_croatia.7z,./eraint/bakar_bakar_I_croatia.7z,./merra/bakar_bakar_I_croatia.7z
51,51,balboa_302a_panama.csv,-79.57300000000002,8.9617,./20cr/balboa_302a_panama.7z,./era20c/balboa_302a_panama.7z,./eraint/balboa_302a_panama.7z,./merra/balboa_302a_panama.7z
52,52,balikpapan_411a_indonesia.csv,116.8,-1.2667,./20cr/balikpapan_411a_indonesia.7z,./era20c/balikpapan_411a_indonesia.7z,,
53,53,baltimore_usa.csv,-76.578,39.266999999999996,./20cr/baltimore_usa.7z,./era20c/baltimore_usa.7z,./eraint/baltimore_usa.7z,./merra/baltimore_usa.7z
54,54,baltra_b_003b_ecuador.csv,-90.285,-0.435,./20cr/baltra_b_003b_ecuador.7z,./era20c/baltra_b_003b_ecuador.7z,./eraint/baltra_b_003b_ecuador.7z,./merra/baltra_b_003b_ecuador.7z
55,55,"bamfield,bc_08545_canada.csv",-125.14,48.83600000000001,"./20cr/bamfield,bc_08545_canada.7z","./era20c/bamfield,bc_08545_canada.7z","./eraint/bamfield,bc_08545_canada.7z","./merra/bamfield,bc_08545_canada.7z"
56,56,bangor_p662_uk.csv,-5.6695,54.665,./20cr/bangor_p662_uk.7z,./era20c/bangor_p662_uk.7z,./eraint/bangor_p662_uk.7z,./merra/bangor_p662_uk.7z
57,57,"barbers_point,hi_547a_usa.csv",-158.12,21.32,"./20cr/barbers_point,hi_547a_usa.7z","./era20c/barbers_point,hi_547a_usa.7z","./eraint/barbers_point,hi_547a_usa.7z","./merra/barbers_point,hi_547a_usa.7z"
58,58,barcelona_barcelona_spain.csv,2.1630000000000003,41.342,./20cr/barcelona_barcelona_spain.7z,./era20c/barcelona_barcelona_spain.7z,./eraint/barcelona_barcelona_spain.7z,./merra/barcelona_barcelona_spain.7z
59,59,"barharbor,frenchmanbay,me_usa.csv",-68.205,44.391999999999996,"./20cr/barharbor,frenchmanbay,me_usa.7z","./era20c/barharbor,frenchmanbay,me_usa.7z","./eraint/barharbor,frenchmanbay,me_usa.7z","./merra/barharbor,frenchmanbay,me_usa.7z"
60,60,bari_bari_italy.csv,16.912,41.137,./20cr/bari_bari_italy.7z,./era20c/bari_bari_italy.7z,./eraint/bari_bari_italy.7z,./merra/bari_bari_italy.7z
61,61,barmouth_p923_uk.csv,-4.0452,52.718999999999994,./20cr/barmouth_p923_uk.7z,./era20c/barmouth_p923_uk.7z,./eraint/barmouth_p923_uk.7z,./merra/barmouth_p923_uk.7z
62,62,barseback_001_sweden.csv,12.902999999999999,55.756,./20cr/barseback_001_sweden.7z,./era20c/barseback_001_sweden.7z,./eraint/barseback_001_sweden.7z,./merra/barseback_001_sweden.7z
63,63,base_prat_b_730b_chile.csv,-59.633,-62.483000000000004,./20cr/base_prat_b_730b_chile.7z,./era20c/base_prat_b_730b_chile.7z,./eraint/base_prat_b_730b_chile.7z,./merra/base_prat_b_730b_chile.7z
64,64,bayonne_boucau_.csv,-1.5148,43.527,./20cr/bayonne_boucau_.7z,./era20c/bayonne_boucau_.7z,./eraint/bayonne_boucau_.7z,./merra/bayonne_boucau_.7z
65,65,beihai_636a_china.csv,109.08,21.483,./20cr/beihai_636a_china.7z,./era20c/beihai_636a_china.7z,./eraint/beihai_636a_china.7z,./merra/beihai_636a_china.7z
66,66,"belem,_uscgs_229a_brazil.csv",-48.5,-1.45,"./20cr/belem,_uscgs_229a_brazil.7z","./era20c/belem,_uscgs_229a_brazil.7z",,
67,67,belize_781a_british_honduras.csv,-88.18299999999998,17.5,./20cr/belize_781a_british_honduras.7z,./era20c/belize_781a_british_honduras.7z,,
68,68,"bellabella,bc_08976_canada.csv",-128.14,52.163000000000004,"./20cr/bellabella,bc_08976_canada.7z","./era20c/bellabella,bc_08976_canada.7z","./eraint/bellabella,bc_08976_canada.7z","./merra/bellabella,bc_08976_canada.7z"
69,69,benoa_b_163b_indonesia.csv,115.21,-8.745,./20cr/benoa_b_163b_indonesia.7z,./era20c/benoa_b_163b_indonesia.7z,./eraint/benoa_b_163b_indonesia.7z,./merra/benoa_b_163b_indonesia.7z
70,70,"bermuda,st.georgesisland_001.csv",-64.7,32.4,"./20cr/bermuda,st.georgesisland_001.7z","./era20c/bermuda,st.georgesisland_001.7z","./eraint/bermuda,st.georgesisland_001.7z","./merra/bermuda,st.georgesisland_001.7z"
71,71,bilbao_bilbao_spain.csv,-3.05,43.357,./20cr/bilbao_bilbao_spain.7z,./era20c/bilbao_bilbao_spain.7z,./eraint/bilbao_bilbao_spain.7z,./merra/bilbao_bilbao_spain.7z
72,72,bintulu_387a_malaysia.csv,113.07,3.2167,./20cr/bintulu_387a_malaysia.7z,./era20c/bintulu_387a_malaysia.7z,./eraint/bintulu_387a_malaysia.7z,./merra/bintulu_387a_malaysia.7z
73,73,bitung_033a_indonesia.csv,125.19,1.44,./20cr/bitung_033a_indonesia.7z,./era20c/bitung_033a_indonesia.7z,./eraint/bitung_033a_indonesia.7z,./merra/bitung_033a_indonesia.7z
74,74,bjorn_028_sweden.csv,17.967,60.633,./20cr/bjorn_028_sweden.7z,./era20c/bjorn_028_sweden.7z,,
75,75,bluff_072a_new_zealand.csv,168.35,-46.6,./20cr/bluff_072a_new_zealand.7z,./era20c/bluff_072a_new_zealand.7z,./eraint/bluff_072a_new_zealand.7z,./merra/bluff_072a_new_zealand.7z
76,76,bonanza_bonanza_spain.csv,-6.34,36.8,./20cr/bonanza_bonanza_spain.7z,./era20c/bonanza_bonanza_spain.7z,./eraint/bonanza_bonanza_spain.7z,./merra/bonanza_bonanza_spain.7z
77,77,booby_island_336a_australia.csv,141.92,-10.6,./20cr/booby_island_336a_australia.7z,./era20c/booby_island_336a_australia.7z,./eraint/booby_island_336a_australia.7z,./merra/booby_island_336a_australia.7z
