,tg,lon,lat,path
0,"aasiaat,greenland_001.csv",-52.883,68.71,"./erafive/aasiaat,greenland_001.csv"
1,abashiri_japan.csv,144.28,44.017,./erafive/abashiri_japan.csv
2,aberdeen_p038_uk.csv,-2.0745,57.143,./erafive/aberdeen_p038_uk.csv
3,abidjan_vridi_230a_ivory_coast.csv,-4.0,5.2417,./erafive/abidjan_vridi_230a_ivory_coast.csv
4,aburatsu_japan.csv,131.42,31.567,./erafive/aburatsu_japan.csv
5,acajutla_c_082c_el_salvador.csv,-89.833,13.583,./erafive/acajutla_c_082c_el_salvador.csv
6,"acapulco_c,gro._316c_mexico.csv",-99.912,16.84,"./erafive/acapulco_c,gro._316c_mexico.csv"
7,"adak,alaska_040a_usa.csv",-176.63,51.863,"./erafive/adak,alaska_040a_usa.csv"
8,"aden_172a_yemen,_p.d.r.csv",44.975,12.788,"./erafive/aden_172a_yemen,_p.d.r.csv"
9,"aguadilla,pr_263a_usa.csv",-67.163,18.457,"./erafive/aguadilla,pr_263a_usa.csv"
10,ajaccio_aspretto_france.csv,8.7628,41.923,./erafive/ajaccio_aspretto_france.csv
11,akabane_japan.csv,137.18,34.6,./erafive/akabane_japan.csv
12,akyab__sittwe__907a_myanmar.csv,92.903,20.14,./erafive/akyab__sittwe__907a_myanmar.csv
13,alameda_navalairstation__usa.csv,-122.3,37.772,./erafive/alameda_navalairstation__usa.csv
14,albany_001_australia.csv,117.88,-35.024,./erafive/albany_001_australia.csv
15,alcudia_alcudia_spain.csv,3.1392,39.835,./erafive/alcudia_alcudia_spain.csv
16,algeciras_alge_spain.csv,-5.4333,36.117,./erafive/algeciras_alge_spain.csv
17,almeria_almeria_spain.csv,-2.478,36.83,./erafive/almeria_almeria_spain.csv
18,alotau_069a_papua_new_guinea.csv,150.45,-10.168,./erafive/alotau_069a_papua_new_guinea.csv
19,amami_japan.csv,129.53,28.317,./erafive/amami_japan.csv
20,ambon_b_133b_indonesia.csv,128.18,-3.6833,./erafive/ambon_b_133b_indonesia.csv
21,"ammassalik,greenland_001.csv",-37.0,65.5,"./erafive/ammassalik,greenland_001.csv"
22,ammassalik_297a_denmark.csv,-37.0,65.6,./erafive/ammassalik_297a_denmark.csv
23,anchorage_usa.csv,-149.89,61.238,./erafive/anchorage_usa.csv
24,ancona_ancona_italy.csv,13.505999999999998,43.625,./erafive/ancona_ancona_italy.csv
25,andenes_001.csv,16.15,69.317,./erafive/andenes_001.csv
26,angra_heroismo_b_215b_portugal.csv,-27.24,38.65,./erafive/angra_heroismo_b_215b_portugal.csv
27,annapolis_navalacademy__usa.csv,-76.482,38.983,./erafive/annapolis_navalacademy__usa.csv
28,antofagasta_080a_chile.csv,-70.4,-23.65,./erafive/antofagasta_080a_chile.csv
29,apalachicola_usa.csv,-84.98200000000001,29.727,./erafive/apalachicola_usa.csv
30,apia_b_401b_western_samoa.csv,-171.75,-13.817,./erafive/apia_b_401b_western_samoa.csv
31,arcachon_eyrac_.csv,-1.1636,44.665,./erafive/arcachon_eyrac_.csv
