,tg,lon,lat,twcrPath,era20cPath,eraintPath,merraPath,erafivePath
0,"aasiaat,greenland_001.csv",-52.883,68.71,"./20cr/aasiaat,greenland_001.csv","./era20c/aasiaat,greenland_001.csv","./eraint/aasiaat,greenland_001.csv","./merra/aasiaat,greenland_001.csv","./erafive/aasiaat,greenland_001.csv"
1,abashiri_japan.csv,144.28,44.017,./20cr/abashiri_japan.csv,./era20c/abashiri_japan.csv,./eraint/abashiri_japan.csv,./merra/abashiri_japan.csv,./erafive/abashiri_japan.csv
2,aberdeen_p038_uk.csv,-2.0745,57.143,./20cr/aberdeen_p038_uk.csv,./era20c/aberdeen_p038_uk.csv,./eraint/aberdeen_p038_uk.csv,./merra/aberdeen_p038_uk.csv,./erafive/aberdeen_p038_uk.csv
3,abidjan_vridi_230a_ivory_coast.csv,-4.0,5.2417,./20cr/abidjan_vridi_230a_ivory_coast.csv,./era20c/abidjan_vridi_230a_ivory_coast.csv,./eraint/abidjan_vridi_230a_ivory_coast.csv,./merra/abidjan_vridi_230a_ivory_coast.csv,./erafive/abidjan_vridi_230a_ivory_coast.csv
4,aburatsu_japan.csv,131.42,31.567,./20cr/aburatsu_japan.csv,./era20c/aburatsu_japan.csv,./eraint/aburatsu_japan.csv,./merra/aburatsu_japan.csv,./erafive/aburatsu_japan.csv
5,acajutla_c_082c_el_salvador.csv,-89.833,13.583,./20cr/acajutla_c_082c_el_salvador.csv,./era20c/acajutla_c_082c_el_salvador.csv,./eraint/acajutla_c_082c_el_salvador.csv,./merra/acajutla_c_082c_el_salvador.csv,./erafive/acajutla_c_082c_el_salvador.csv
6,"acapulco_c,gro._316c_mexico.csv",-99.912,16.84,"./20cr/acapulco_c,gro._316c_mexico.csv","./era20c/acapulco_c,gro._316c_mexico.csv","./eraint/acapulco_c,gro._316c_mexico.csv","./merra/acapulco_c,gro._316c_mexico.csv","./erafive/acapulco_c,gro._316c_mexico.csv"
7,"adak,alaska_040a_usa.csv",-176.63,51.863,"./20cr/adak,alaska_040a_usa.csv","./era20c/adak,alaska_040a_usa.csv","./eraint/adak,alaska_040a_usa.csv","./merra/adak,alaska_040a_usa.csv","./erafive/adak,alaska_040a_usa.csv"
8,"aden_172a_yemen,_p.d.r.csv",44.975,12.788,"./20cr/aden_172a_yemen,_p.d.r.csv","./era20c/aden_172a_yemen,_p.d.r.csv","./eraint/aden_172a_yemen,_p.d.r.csv","./merra/aden_172a_yemen,_p.d.r.csv","./erafive/aden_172a_yemen,_p.d.r.csv"
9,"aguadilla,pr_263a_usa.csv",-67.163,18.457,"./20cr/aguadilla,pr_263a_usa.csv","./era20c/aguadilla,pr_263a_usa.csv","./eraint/aguadilla,pr_263a_usa.csv","./merra/aguadilla,pr_263a_usa.csv","./erafive/aguadilla,pr_263a_usa.csv"
10,ajaccio_aspretto_france.csv,8.7628,41.923,./20cr/ajaccio_aspretto_france.csv,./era20c/ajaccio_aspretto_france.csv,./eraint/ajaccio_aspretto_france.csv,./merra/ajaccio_aspretto_france.csv,./erafive/ajaccio_aspretto_france.csv
11,akabane_japan.csv,137.18,34.6,./20cr/akabane_japan.csv,./era20c/akabane_japan.csv,./eraint/akabane_japan.csv,./merra/akabane_japan.csv,./erafive/akabane_japan.csv
12,akyab__sittwe__907a_myanmar.csv,92.903,20.14,./20cr/akyab__sittwe__907a_myanmar.csv,./era20c/akyab__sittwe__907a_myanmar.csv,./eraint/akyab__sittwe__907a_myanmar.csv,./merra/akyab__sittwe__907a_myanmar.csv,./erafive/akyab__sittwe__907a_myanmar.csv
13,alameda_navalairstation__usa.csv,-122.3,37.772,./20cr/alameda_navalairstation__usa.csv,./era20c/alameda_navalairstation__usa.csv,./eraint/alameda_navalairstation__usa.csv,./merra/alameda_navalairstation__usa.csv,./erafive/alameda_navalairstation__usa.csv
14,albany_001_australia.csv,117.88,-35.024,./20cr/albany_001_australia.csv,./era20c/albany_001_australia.csv,./eraint/albany_001_australia.csv,./merra/albany_001_australia.csv,./erafive/albany_001_australia.csv
15,alcudia_alcudia_spain.csv,3.1392,39.835,./20cr/alcudia_alcudia_spain.csv,./era20c/alcudia_alcudia_spain.csv,./eraint/alcudia_alcudia_spain.csv,./merra/alcudia_alcudia_spain.csv,./erafive/alcudia_alcudia_spain.csv
16,"alertbay,bc_08280_canada.csv",-126.93,50.587,"./20cr/alertbay,bc_08280_canada.csv","./era20c/alertbay,bc_08280_canada.csv",,,
17,alexandria_330071_egypt.csv,29.917,31.217,./20cr/alexandria_330071_egypt.csv,./era20c/alexandria_330071_egypt.csv,,,
18,algeciras_alge_spain.csv,-5.4333,36.117,./20cr/algeciras_alge_spain.csv,./era20c/algeciras_alge_spain.csv,./eraint/algeciras_alge_spain.csv,./merra/algeciras_alge_spain.csv,./erafive/algeciras_alge_spain.csv
19,almeria_almeria_spain.csv,-2.478,36.83,./20cr/almeria_almeria_spain.csv,./era20c/almeria_almeria_spain.csv,./eraint/almeria_almeria_spain.csv,./merra/almeria_almeria_spain.csv,./erafive/almeria_almeria_spain.csv
20,alotau_069a_papua_new_guinea.csv,150.45,-10.168,./20cr/alotau_069a_papua_new_guinea.csv,./era20c/alotau_069a_papua_new_guinea.csv,./eraint/alotau_069a_papua_new_guinea.csv,./merra/alotau_069a_papua_new_guinea.csv,./erafive/alotau_069a_papua_new_guinea.csv
21,amami_japan.csv,129.53,28.317,./20cr/amami_japan.csv,./era20c/amami_japan.csv,./eraint/amami_japan.csv,./merra/amami_japan.csv,./erafive/amami_japan.csv
22,ambon_b_133b_indonesia.csv,128.18,-3.6833,./20cr/ambon_b_133b_indonesia.csv,./era20c/ambon_b_133b_indonesia.csv,./eraint/ambon_b_133b_indonesia.csv,./merra/ambon_b_133b_indonesia.csv,./erafive/ambon_b_133b_indonesia.csv
