,tg,lon,lat,path
90,bundaberg_003_australia.csv,152.35,-24.833000000000002,./20cr/bundaberg_003_australia.csv
91,bundaberg_332a_australia.csv,152.38,-24.767,./20cr/bundaberg_332a_australia.csv
92,burnie_005_australia.csv,145.91,-41.053000000000004,./20cr/burnie_005_australia.csv
93,burnie_344a_australia.csv,145.91,-41.5,./20cr/burnie_344a_australia.csv
94,cabo_san_lucas_034a_mexico.csv,-109.91,22.88,./20cr/cabo_san_lucas_034a_mexico.csv
95,cadiz_cadi_spain.csv,-6.2833,36.533,./20cr/cadiz_cadi_spain.csv
96,cagliari_cagliari_italy.csv,9.1143,39.21,./20cr/cagliari_cagliari_italy.csv
97,cairns_007_australia.csv,145.78,-16.925,./20cr/cairns_007_australia.csv
98,calais_.csv,1.8677,50.968999999999994,./20cr/calais_.csv
99,"caldera,chile_001.csv",-70.833,-27.066999999999997,"./20cr/caldera,chile_001.csv"
100,callao_b_093b_peru.csv,-77.15,-12.05,./20cr/callao_b_093b_peru.csv
101,cambridgeii_usa.csv,-76.068,38.573,./20cr/cambridgeii_usa.csv
102,"campbellriver,bc_08074_canada.csv",-125.25,50.042,"./20cr/campbellriver,bc_08074_canada.csv"
103,cananeia_281a_brazil.csv,-47.925,-25.017,./20cr/cananeia_281a_brazil.csv
104,"canavieiras,uscgs_707a_brazil.csv",-38.967,-15.667,"./20cr/canavieiras,uscgs_707a_brazil.csv"
105,"capehatteras,u.s.a._001.csv",-75.635,35.223,"./20cr/capehatteras,u.s.a._001.csv"
106,capemay_usa.csv,-74.96,38.968,./20cr/capemay_usa.csv
107,cape_ferguson_343a_australia.csv,147.06,-19.277,./20cr/cape_ferguson_343a_australia.csv
108,"cape_may,nj_746a_usa.csv",-74.96,38.968,"./20cr/cape_may,nj_746a_usa.csv"
109,cape_town_704a_south_africa.csv,18.433,-33.9,./20cr/cape_town_704a_south_africa.csv
110,carloforte_carloforte_italy.csv,8.3095,39.148,./20cr/carloforte_carloforte_italy.csv
111,carnarvon_008_australia.csv,113.66,-24.884,./20cr/carnarvon_008_australia.csv
112,cartagena_b_265b_colombia.csv,-75.533,10.383,./20cr/cartagena_b_265b_colombia.csv
113,cascais_209a_portugal.csv,-9.4167,38.692,./20cr/cascais_209a_portugal.csv
114,casey_130a_australia.csv,110.53,-66.283,./20cr/casey_130a_australia.csv
115,castletownsend_835a_ireland.csv,-9.1833,51.533,./20cr/castletownsend_835a_ireland.csv
116,catalina_b_313b_usa.csv,-118.48,33.45,./20cr/catalina_b_313b_usa.csv
117,catania_catania_italy.csv,15.094000000000001,37.49800000000001,./20cr/catania_catania_italy.csv
118,cayenne_227a_france.csv,-52.283,4.85,./20cr/cayenne_227a_france.csv
119,cebu_379a_philippines.csv,123.92,10.3,./20cr/cebu_379a_philippines.csv
120,cedarkeyii_usa.csv,-83.03200000000002,29.135,./20cr/cedarkeyii_usa.csv
121,cedros_island_305a_mexico.csv,-115.18,28.1,./20cr/cedros_island_305a_mexico.csv
122,celestun_861a_mexico.csv,-90.40299999999999,20.858,./20cr/celestun_861a_mexico.csv
123,cendering_320a_malaysia.csv,103.18,5.2667,./20cr/cendering_320a_malaysia.csv
124,centuri_france.csv,9.3498,42.966,./20cr/centuri_france.csv
125,ceuta_ceta_spain.csv,-5.3167,35.9,./20cr/ceuta_ceta_spain.csv
126,chabahar_915a_iran.csv,60.603,25.296999999999997,./20cr/chabahar_915a_iran.csv
127,champerico_670a_guatemala.csv,-91.917,14.3,./20cr/champerico_670a_guatemala.csv
128,charchanga_138a_bangladesh.csv,91.05,22.217,./20cr/charchanga_138a_bangladesh.csv
129,"charleston,or_575a_usa.csv",-124.32,43.345,"./20cr/charleston,or_575a_usa.csv"
130,"charleston,sc_261a_usa.csv",-79.925,32.782,"./20cr/charleston,sc_261a_usa.csv"
131,"charlottetown,pei_01700_canada.csv",-63.117,46.233000000000004,"./20cr/charlottetown,pei_01700_canada.csv"
132,charlotte_amalie_255a_usa.csv,-64.92,18.335,./20cr/charlotte_amalie_255a_usa.csv
133,chatham_079a_new_zealand.csv,-176.56,-43.946999999999996,./20cr/chatham_079a_new_zealand.csv
134,cherbourg_.csv,-1.6355,49.651,./20cr/cherbourg_.csv
135,chesapeake_bbt_749a_usa.csv,-76.113,36.967,./20cr/chesapeake_bbt_749a_usa.csv
136,chichijima_japan.csv,142.18,27.1,./20cr/chichijima_japan.csv
137,chittagong_124a_bangladesh.csv,91.825,22.247,./20cr/chittagong_124a_bangladesh.csv
138,choshigyoko_japan.csv,140.87,35.75,./20cr/choshigyoko_japan.csv
139,"christiansted,vi_258a_usa.csv",-64.705,17.75,"./20cr/christiansted,vi_258a_usa.csv"
140,christmas_170a_australia.csv,105.67,-10.417,./20cr/christmas_170a_australia.csv
141,"christmas_b,lineis.kiribati_001.csv",-157.48,1.985,"./20cr/christmas_b,lineis.kiribati_001.csv"
142,churchill_274a_canada.csv,-94.18299999999999,58.766999999999996,./20cr/churchill_274a_canada.csv
143,chuuk_054a_fd._st._micronesia.csv,151.85,7.45,./20cr/chuuk_054a_fd._st._micronesia.csv
144,cilicap_b_162b_indonesia.csv,109.02,-7.7517,./20cr/cilicap_b_162b_indonesia.csv
145,ciudad_del_carmen_779a_mexico.csv,-91.833,18.533,./20cr/ciudad_del_carmen_779a_mexico.csv
146,civitavecchia_civitavecchia_italy.csv,11.79,42.093999999999994,./20cr/civitavecchia_civitavecchia_italy.csv
147,"clearwater_bch,fl_773a_usa.csv",-82.83200000000002,27.976999999999997,"./20cr/clearwater_bch,fl_773a_usa.csv"
148,"cocoa_beach,_fl_754a_usa.csv",-80.6,28.368000000000002,"./20cr/cocoa_beach,_fl_754a_usa.csv"
149,cocos_171a_australia.csv,96.883,-12.117,./20cr/cocos_171a_australia.csv
150,colombo_c_115c_sri_lanka.csv,79.85,6.9333,./20cr/colombo_c_115c_sri_lanka.csv
151,concarneau_.csv,-3.9072,47.873999999999995,./20cr/concarneau_.csv
152,cordemais_.csv,-1.8898,47.277,./20cr/cordemais_.csv
153,"cordova_b,alaska_583b_usa.csv",-145.75,60.558,"./20cr/cordova_b,alaska_583b_usa.csv"
154,corinto_679a_nicaragua.csv,-87.117,12.283,./20cr/corinto_679a_nicaragua.csv
155,"corpus_cristi,tx_770a_usa.csv",-97.21700000000001,27.58,"./20cr/corpus_cristi,tx_770a_usa.csv"
156,coruna_coru_spain.csv,-8.4,43.367,./20cr/coruna_coru_spain.csv
157,cox_s_bazaar_136a_bangladesh.csv,91.833,21.45,./20cr/cox_s_bazaar_136a_bangladesh.csv
158,"crescent_city,ca_556a_usa.csv",-124.18,41.745,"./20cr/crescent_city,ca_556a_usa.csv"
159,cristobal_266a_panama.csv,-79.915,9.355,./20cr/cristobal_266a_panama.csv
160,cromer_p183_uk.csv,1.3016,52.934,./20cr/cromer_p183_uk.csv
161,crotone_crotone_italy.csv,17.137,39.082,./20cr/crotone_crotone_italy.csv
162,crozet_b_178b_france.csv,51.87,-46.425,./20cr/crozet_b_178b_france.csv
163,"culebra,_pr_219a_usa.csv",-65.30199999999999,18.3,"./20cr/culebra,_pr_219a_usa.csv"
164,currimao_654a_philippines.csv,120.49,17.988,./20cr/currimao_654a_philippines.csv
165,cuxhaven_germany.csv,8.7167,53.867,./20cr/cuxhaven_germany.csv
166,dakar_e_223e_senegal.csv,-17.43,14.667,./20cr/dakar_e_223e_senegal.csv
167,dalian_a_630a_china.csv,121.66,38.925,./20cr/dalian_a_630a_china.csv
168,dallmann_c_682c_unconfirmed.csv,-58.683,-62.233000000000004,./20cr/dallmann_c_682c_unconfirmed.csv
169,darwin_009_australia.csv,130.85,-12.467,./20cr/darwin_009_australia.csv
170,dar_es_salaam_102a_tanzania.csv,39.288000000000004,-6.82,./20cr/dar_es_salaam_102a_tanzania.csv
171,"dauphin_island,_al_763a_usa.csv",-88.075,30.25,"./20cr/dauphin_island,_al_763a_usa.csv"
172,davao_b_372b_philippines.csv,125.63,7.0833,./20cr/davao_b_372b_philippines.csv
173,"davis,australia_001.csv",78.5,-68.0,"./20cr/davis,australia_001.csv"
174,davis_173a_australia.csv,77.967,-68.45,./20cr/davis_173a_australia.csv
175,degerby_001_finland.csv,20.385,60.032,./20cr/degerby_001_finland.csv
176,delfzijl_del_nl.csv,6.9331,53.326,./20cr/delfzijl_del_nl.csv
177,denhelder_hel_nl.csv,4.7464,52.965,./20cr/denhelder_hel_nl.csv
178,devonport_p002_uk.csv,-4.1852,50.368,./20cr/devonport_p002_uk.csv
179,"diegogarcia_d,uk_001.csv",72.433,-7.2333,"./20cr/diegogarcia_d,uk_001.csv"
180,"diegoramirez,chile_001.csv",-68.667,-56.558,"./20cr/diegoramirez,chile_001.csv"
181,diego_garcia_d_104d_united_kingdom.csv,72.433,-7.2333,./20cr/diego_garcia_d_104d_united_kingdom.csv
182,diego_ramirez_599a_chile.csv,-68.715,-56.508,./20cr/diego_ramirez_599a_chile.csv
183,dieppe_.csv,1.0845,49.928999999999995,./20cr/dieppe_.csv
184,djibouti_119a_djibouti.csv,43.14,11.607999999999999,./20cr/djibouti_119a_djibouti.csv
185,donges_.csv,-2.0883,47.306000000000004,./20cr/donges_.csv
186,dongfang_637a_china.csv,108.62,19.1,./20cr/dongfang_637a_china.csv
187,dover_p012_uk.csv,1.3181,51.117,./20cr/dover_p012_uk.csv
188,draghallan_002_sweden.csv,17.533,62.367,./20cr/draghallan_002_sweden.csv
189,"duck_pier,nc_260a_usa.csv",-75.74,36.183,"./20cr/duck_pier,nc_260a_usa.csv"
190,dumont_d_urville_189a_france.csv,140.01,-66.66199999999999,./20cr/dumont_d_urville_189a_france.csv
191,dunkerque_.csv,2.3667,51.048,./20cr/dunkerque_.csv
192,durban_181a_south_africa.csv,31.05,-29.866999999999997,./20cr/durban_181a_south_africa.csv
193,"dutch_harbor_b,ak_041b_usa.csv",-166.54,53.88,"./20cr/dutch_harbor_b,ak_041b_usa.csv"
194,dzaoudi_155a_mayotte.csv,45.257,-12.78,./20cr/dzaoudi_155a_mayotte.csv
195,easter_c_022c_chile.csv,-109.45,-27.15,./20cr/easter_c_022c_chile.csv
196,"eastport,me_740a_usa.csv",-66.985,44.903,"./20cr/eastport,me_740a_usa.csv"
197,east_london_187a_south_africa.csv,27.916999999999998,-33.016999999999996,./20cr/east_london_187a_south_africa.csv
198,el_hierro_elhierro_spain.csv,-17.9,27.78,./20cr/el_hierro_elhierro_spain.csv
199,enewetok_b_006b_rep._of_marshall_i.csv,162.39,11.43,./20cr/enewetok_b_006b_rep._of_marshall_i.csv
200,ensenada_317a_mexico.csv,-116.63,31.85,./20cr/ensenada_317a_mexico.csv
201,esbjerg_130121_denmark.csv,8.4333,55.467,./20cr/esbjerg_130121_denmark.csv
202,esmeraldas_098a_ecuador.csv,-79.64699999999998,0.9917,./20cr/esmeraldas_098a_ecuador.csv
203,esperance_010_australia.csv,121.89,-33.861,./20cr/esperance_010_australia.csv
204,"esperanza,argentina_001.csv",-56.995,-63.395,"./20cr/esperanza,argentina_001.csv"
205,"esperanza,_pr_733a_usa.csv",-65.47,18.093,"./20cr/esperanza,_pr_733a_usa.csv"
206,"esperence,australia_001.csv",121.9,-33.867,"./20cr/esperence,australia_001.csv"
207,exuma_cays_256a_bahamas.csv,-76.105,23.773000000000003,./20cr/exuma_cays_256a_bahamas.csv
208,"fajardo_b,pr_783b_usa.csv",-65.633,18.333,"./20cr/fajardo_b,pr_783b_usa.csv"
209,fanning_c_012c_rep._of_kiribati.csv,-159.39,3.9067,./20cr/fanning_c_012c_rep._of_kiribati.csv
210,faraday_700a_united_kingdom.csv,-64.267,-65.25,./20cr/faraday_700a_united_kingdom.csv
211,felixstowe_p204_uk.csv,1.3484,51.957,./20cr/felixstowe_p204_uk.csv
212,fer._de_noronha_c_203c_brazil.csv,-32.403,-3.8283,./20cr/fer._de_noronha_c_203c_brazil.csv
213,fernandina_beach_240a_usa.csv,-81.467,30.671999999999997,./20cr/fernandina_beach_240a_usa.csv
214,ferrol_ferrol_spain.csv,-8.326,43.463,./20cr/ferrol_ferrol_spain.csv
215,fishguard_p055_uk.csv,-4.9833,52.013999999999996,./20cr/fishguard_p055_uk.csv
216,"flores,santa_cruz_210a_portugal.csv",-31.16800000000001,39.378,"./20cr/flores,santa_cruz_210a_portugal.csv"
217,formentera_formentera_spain.csv,1.4189,38.735,./20cr/formentera_formentera_spain.csv
218,forsmark_003_sweden.csv,18.211,60.409,./20cr/forsmark_003_sweden.csv
219,fortaleza_c_283c_brazil.csv,-38.467,-3.7167,./20cr/fortaleza_c_283c_brazil.csv
220,fortdenison_011_australia.csv,151.23,-33.85,./20cr/fortdenison_011_australia.csv
221,fortmyers_usa.csv,-81.87100000000002,26.648000000000003,./20cr/fortmyers_usa.csv
222,fortpulaski_usa.csv,-80.902,32.033,./20cr/fortpulaski_usa.csv
223,fort_denison_333a_australia.csv,151.23,-33.85,./20cr/fort_denison_333a_australia.csv
224,fort_de_france_271a_france.csv,-61.05,14.583,./20cr/fort_de_france_271a_france.csv
225,"fort_pulaski,ga_752a_usa.csv",-80.902,32.033,"./20cr/fort_pulaski,ga_752a_usa.csv"
226,fos_sur_mer_france.csv,4.8929,43.405,./20cr/fos_sur_mer_france.csv
227,freeport_usa.csv,-95.30799999999999,28.948,./20cr/freeport_usa.csv
228,fremantle_012_australia.csv,115.75,-32.053000000000004,./20cr/fremantle_012_australia.csv
229,french_frigate_b_014b_usa.csv,-166.29,23.868000000000002,./20cr/french_frigate_b_014b_usa.csv
230,fridayharbor_ocean.labs.__usa.csv,-123.01,48.547,./20cr/fridayharbor_ocean.labs.__usa.csv
231,fuerteventura_fuerteventura_spain.csv,-13.85,28.5,./20cr/fuerteventura_fuerteventura_spain.csv
232,fukaura_japan.csv,139.93,40.65,./20cr/fukaura_japan.csv
233,fukue_japan.csv,128.85,32.7,./20cr/fukue_japan.csv
234,"fulfordharbour,bc_07330_canada.csv",-123.45,48.769,"./20cr/fulfordharbour,bc_07330_canada.csv"
235,"funafuti,tuvalu_001.csv",179.19,-8.525,"./20cr/funafuti,tuvalu_001.csv"
236,funchal_b_218b_portugal.csv,-16.907,32.64,./20cr/funchal_b_218b_portugal.csv
237,furuogrund_004_sweden.csv,21.230999999999998,64.916,./20cr/furuogrund_004_sweden.csv
238,"galveston,pier_21_775a_usa.csv",-94.79,29.287,"./20cr/galveston,pier_21_775a_usa.csv"
239,gan_109a_rep._of_maldives.csv,73.152,-0.6867,./20cr/gan_109a_rep._of_maldives.csv
240,gandia_gandia_spain.csv,-0.152,38.995,./20cr/gandia_gandia_spain.csv
241,gedser_837a_denmark.csv,11.933,54.567,./20cr/gedser_837a_denmark.csv
242,geelong_013_australia.csv,144.36,-38.147,./20cr/geelong_013_australia.csv
243,genova_genova_italy.csv,8.9253,44.41,./20cr/genova_genova_italy.csv
244,georgetown_015_australia.csv,146.85,-41.133,./20cr/georgetown_015_australia.csv
245,geraldton_014_australia.csv,114.61,-28.773000000000003,./20cr/geraldton_014_australia.csv
246,geting_326a_malaysia.csv,102.11,6.2267,./20cr/geting_326a_malaysia.csv
247,gibara_244a_cuba.csv,-76.117,21.116999999999997,./20cr/gibara_244a_cuba.csv
248,gibraltar_289a_united_kingdom.csv,-5.35,36.117,./20cr/gibraltar_289a_united_kingdom.csv
249,gijon_gijon_spain.csv,-5.6979999999999995,43.558,./20cr/gijon_gijon_spain.csv
250,gisborne_b_078b_new_zealand.csv,178.03,-38.683,./20cr/gisborne_b_078b_new_zealand.csv
251,gladstone_p234_uk.csv,-3.0180000000000002,53.45,./20cr/gladstone_p234_uk.csv
252,gloucesterpoint_usa.csv,-76.5,37.247,./20cr/gloucesterpoint_usa.csv
253,gobo_japan.csv,135.17,33.85,./20cr/gobo_japan.csv
254,gomera_gomera_spain.csv,-17.0,28.0,./20cr/gomera_gomera_spain.csv
255,goteborgtorshamnen_005_sweden.csv,11.8,57.683,./20cr/goteborgtorshamnen_005_sweden.csv
256,grandisle_usa.csv,-89.95700000000002,29.263,./20cr/grandisle_usa.csv
257,groote_eylandt_145a_australia.csv,136.42,-13.86,./20cr/groote_eylandt_145a_australia.csv
258,guadalupe_036a_mexico.csv,-118.3,28.88300000000001,./20cr/guadalupe_036a_mexico.csv
259,guam_053a_usa_trust.csv,144.65,13.433,./20cr/guam_053a_usa_trust.csv
260,guantanamo_bay_b_251b_cuba.csv,-75.14699999999998,19.907,./20cr/guantanamo_bay_b_251b_cuba.csv
261,guaymas_397a_mexico.csv,-110.9,27.933000000000003,./20cr/guaymas_397a_mexico.csv
262,hachinohe_japan.csv,141.53,40.533,./20cr/hachinohe_japan.csv
263,haikou_638a_china.csv,110.28,20.017,./20cr/haikou_638a_china.csv
264,hakodate_japan.csv,140.73,41.783,./20cr/hakodate_japan.csv
265,"halifax,ns_00490_canada.csv",-63.583,44.667,"./20cr/halifax,ns_00490_canada.csv"
266,hamada_japan.csv,132.07,34.9,./20cr/hamada_japan.csv
267,hamina_002_finland.csv,27.179000000000002,60.563,./20cr/hamina_002_finland.csv
268,hanasaki_japan.csv,145.57,43.283,./20cr/hanasaki_japan.csv
269,hanimaadhoo_b_117b_rep._of_maldives.csv,73.167,6.7667,./20cr/hanimaadhoo_b_117b_rep._of_maldives.csv
270,hanko_003_finland.csv,22.976999999999997,59.823,./20cr/hanko_003_finland.csv
271,"harvest_oil_p.,ca_594a_usa.csv",-120.67,34.468,"./20cr/harvest_oil_p.,ca_594a_usa.csv"
272,harwich_p022_uk.csv,1.2845,51.946999999999996,./20cr/harwich_p022_uk.csv
273,heimsjoe_001_norway.csv,9.1014,63.425,./20cr/heimsjoe_001_norway.csv
274,helsinki_004_finland.csv,24.956,60.153999999999996,./20cr/helsinki_004_finland.csv
275,heysham_p050_uk.csv,-2.9204,54.032,./20cr/heysham_p050_uk.csv
276,hillarys_132a_australia.csv,115.74,-31.825,./20cr/hillarys_132a_australia.csv
277,"hilo,_hawaii_060a_usa.csv",-155.07,19.733,"./20cr/hilo,_hawaii_060a_usa.csv"
278,hinkleypoint_p003_uk.csv,-3.1343,51.215,./20cr/hinkleypoint_p003_uk.csv
279,hiron_point_134a_bangladesh.csv,89.46700000000001,21.783,./20cr/hiron_point_134a_bangladesh.csv
280,hiva_oa_017a_french_polynesia.csv,-139.03,-9.81,./20cr/hiva_oa_017a_french_polynesia.csv
281,hobart_016_australia.csv,147.33,-42.883,./20cr/hobart_016_australia.csv
282,hoekvanholla_hvh_nl.csv,4.12,51.977,./20cr/hoekvanholla_hvh_nl.csv
283,hofu_japan.csv,131.58,34.033,./20cr/hofu_japan.csv
284,holyhead_p054_uk.csv,-4.6312,53.308,./20cr/holyhead_p054_uk.csv
285,hong_kong_b_329b_china.csv,114.2,22.3,./20cr/hong_kong_b_329b_china.csv
286,"honiara,solomonislands_001.csv",159.96,-9.425,"./20cr/honiara,solomonislands_001.csv"
287,honmoku_japan.csv,139.67,35.433,./20cr/honmoku_japan.csv
288,honningsvaag_002_norway.csv,25.97300000000001,70.98,./20cr/honningsvaag_002_norway.csv
289,"honolulu_b,hawaii_057b_usa.csv",-157.86,21.295,"./20cr/honolulu_b,hawaii_057b_usa.csv"
290,hon_dau_b_650b_vietnam.csv,106.82,20.666999999999998,./20cr/hon_dau_b_650b_vietnam.csv
291,hornbaek_838a_denmark.csv,12.467,56.1,./20cr/hornbaek_838a_denmark.csv
292,"horta,azores_212a_portugal.csv",-28.622,38.533,"./20cr/horta,azores_212a_portugal.csv"
293,hosojima_358a_japan.csv,131.68,32.417,./20cr/hosojima_358a_japan.csv
294,huelva_huelva_spain.csv,-6.834,37.132,./20cr/huelva_huelva_spain.csv
295,"humboldt_bay,_ca_576a_usa.csv",-124.22,40.766999999999996,"./20cr/humboldt_bay,_ca_576a_usa.csv"
296,ibiza_ibiza_spain.csv,1.4497,38.911,./20cr/ibiza_ibiza_spain.csv
297,ile_royale_850a_france.csv,-52.585,5.285,./20cr/ile_royale_850a_france.csv
298,ilfracombe_p061_uk.csv,-4.1109,51.21100000000001,./20cr/ilfracombe_p061_uk.csv
299,"ilha_fiscal,rj_280a_brazil.csv",-43.165,-22.897,"./20cr/ilha_fiscal,rj_280a_brazil.csv"
300,"ilulissat,greenland_001.csv",-51.1,69.217,"./20cr/ilulissat,greenland_001.csv"
301,imbituba_718a_brazil.csv,-48.4,-28.13300000000001,./20cr/imbituba_718a_brazil.csv
302,immingham_p026_uk.csv,-0.18603,53.631,./20cr/immingham_p026_uk.csv
303,imperia_imperia_italy.csv,8.0188,43.878,./20cr/imperia_imperia_italy.csv
304,irouzaki_japan.csv,138.85,34.617,./20cr/irouzaki_japan.csv
305,"isabel_segunda,_pr_732a_usa.csv",-65.443,18.152,"./20cr/isabel_segunda,_pr_732a_usa.csv"
306,ishigaki_japan.csv,124.15,24.333000000000002,./20cr/ishigaki_japan.csv
307,"isladapascua_e,chile_001.csv",-109.45,-27.15,"./20cr/isladapascua_e,chile_001.csv"
308,iwasaki_japan.csv,139.92,40.583,./20cr/iwasaki_japan.csv
309,"i_royal,anselegoff_851a_france.csv",-52.586999999999996,5.2883,"./20cr/i_royal,anselegoff_851a_france.csv"
