,tg,lon,lat,twcrPath,era20cPath,eraintPath,merraPath,erafivePath,20CR,ERA-20c,ERA-Interim,MERRA,ERA-FIVE,lowestRMSE,twcrBest,era20cBest,eraintBest,merraBest,erafiveBest
18,algeciras_alge_spain,-5.4333,36.117,./20cr/algeciras_alge_spain.7z,./era20c/algeciras_alge_spain.7z,./eraint/algeciras_alge_spain.7z,./merra/algeciras_alge_spain.7z,./erafive/algeciras_alge_spain.7z,0.128697174,0.125715931,0.128486353,0.11233484,0.111061134,ERA-FIVE,,,,,- best reconstruction
19,almeria_almeria_spain,-2.478,36.83,./20cr/almeria_almeria_spain.7z,./era20c/almeria_almeria_spain.7z,./eraint/almeria_almeria_spain.7z,./merra/almeria_almeria_spain.7z,./erafive/almeria_almeria_spain.7z,0.05666908,0.059193997,0.089090389,0.059358646,0.091151223,20CR,- best reconstruction,,,,
20,alotau_069a_papua_new_guinea,150.45,-10.168,./20cr/alotau_069a_papua_new_guinea.7z,./era20c/alotau_069a_papua_new_guinea.7z,./eraint/alotau_069a_papua_new_guinea.7z,./merra/alotau_069a_papua_new_guinea.7z,./erafive/alotau_069a_papua_new_guinea.7z,0.034461098,0.03505272,0.033616263,0.032997575,0.034305639,MERRA,,,,- best reconstruction,
21,amami_japan,129.53,28.317,./20cr/amami_japan.7z,./era20c/amami_japan.7z,./eraint/amami_japan.7z,./merra/amami_japan.7z,./erafive/amami_japan.7z,0.066716922,0.065775942,0.064098815,0.062891972,0.059984001,ERA-FIVE,,,,,- best reconstruction
22,ambon_b_133b_indonesia,128.18,-3.6833,./20cr/ambon_b_133b_indonesia.7z,./era20c/ambon_b_133b_indonesia.7z,./eraint/ambon_b_133b_indonesia.7z,./merra/ambon_b_133b_indonesia.7z,./erafive/ambon_b_133b_indonesia.7z,0.062203346,0.062704493,0.055385388,0.065707048,0.061887741,ERA-Interim,,,- best reconstruction,,
23,"ammassalik,greenland_001",-37,65.5,"./20cr/ammassalik,greenland_001.7z","./era20c/ammassalik,greenland_001.7z","./eraint/ammassalik,greenland_001.7z","./merra/ammassalik,greenland_001.7z","./erafive/ammassalik,greenland_001.7z",0.171307991,0.162750429,0.163652292,0.167811812,0.169484526,ERA-20c,,- best reconstruction,,,
24,ammassalik_297a_denmark,-37,65.6,./20cr/ammassalik_297a_denmark.7z,./era20c/ammassalik_297a_denmark.7z,./eraint/ammassalik_297a_denmark.7z,./merra/ammassalik_297a_denmark.7z,./erafive/ammassalik_297a_denmark.7z,0.157876351,0.155095481,0.137633946,0.146634305,0.155719235,ERA-Interim,,,- best reconstruction,,
25,anchorage_usa,-149.89,61.238,./20cr/anchorage_usa.7z,./era20c/anchorage_usa.7z,./eraint/anchorage_usa.7z,./merra/anchorage_usa.7z,./erafive/anchorage_usa.7z,0.175444428,0.174030083,0.166309895,0.170864794,0.17311202,ERA-Interim,,,- best reconstruction,,
26,ancona_ancona_italy,13.506,43.625,./20cr/ancona_ancona_italy.7z,./era20c/ancona_ancona_italy.7z,./eraint/ancona_ancona_italy.7z,./merra/ancona_ancona_italy.7z,./erafive/ancona_ancona_italy.7z,0.094008757,0.098173131,0.09759167,0.100358222,0.095008911,20CR,- best reconstruction,,,,
27,andenes_001,16.15,69.317,./20cr/andenes_001.7z,./era20c/andenes_001.7z,./eraint/andenes_001.7z,./merra/andenes_001.7z,./erafive/andenes_001.7z,0.144701993,0.128296819,0.114719703,0.113693244,0.110857181,ERA-FIVE,,,,,- best reconstruction
28,anewa_bay_048a_papua_new_guinea,155.88,-6.1833,./20cr/anewa_bay_048a_papua_new_guinea.7z,./era20c/anewa_bay_048a_papua_new_guinea.7z,,,,,,,,,,,,,,
29,angra_heroismo_b_215b_portugal,-27.24,38.65,./20cr/angra_heroismo_b_215b_portugal.7z,./era20c/angra_heroismo_b_215b_portugal.7z,./eraint/angra_heroismo_b_215b_portugal.7z,./merra/angra_heroismo_b_215b_portugal.7z,./erafive/angra_heroismo_b_215b_portugal.7z,0.055063446,0.050391882,0.049140476,0.052119207,0.059139448,ERA-Interim,,,- best reconstruction,,
30,annapolis_navalacademy__usa,-76.482,38.983,./20cr/annapolis_navalacademy__usa.7z,./era20c/annapolis_navalacademy__usa.7z,./eraint/annapolis_navalacademy__usa.7z,./merra/annapolis_navalacademy__usa.7z,./erafive/annapolis_navalacademy__usa.7z,0.130570275,0.146561478,0.123861996,0.130773101,0.120154075,ERA-FIVE,,,,,- best reconstruction
31,antalya_anta_turkey,30.617,36.833,./20cr/antalya_anta_turkey.7z,./era20c/antalya_anta_turkey.7z,,,,,,,,,,,,,,
32,antofagasta_080a_chile,-70.4,-23.65,./20cr/antofagasta_080a_chile.7z,./era20c/antofagasta_080a_chile.7z,./eraint/antofagasta_080a_chile.7z,./merra/antofagasta_080a_chile.7z,./erafive/antofagasta_080a_chile.7z,0.047986438,0.04801307,0.048527025,0.048088257,0.047625956,ERA-FIVE,,,,,- best reconstruction
33,apalachicola_usa,-84.982,29.727,./20cr/apalachicola_usa.7z,./era20c/apalachicola_usa.7z,./eraint/apalachicola_usa.7z,./merra/apalachicola_usa.7z,./erafive/apalachicola_usa.7z,0.117806248,0.1997696,0.107737489,0.117664171,0.108905753,ERA-Interim,,,- best reconstruction,,
34,apia_b_401b_western_samoa,-171.75,-13.817,./20cr/apia_b_401b_western_samoa.7z,./era20c/apia_b_401b_western_samoa.7z,./eraint/apia_b_401b_western_samoa.7z,./merra/apia_b_401b_western_samoa.7z,./erafive/apia_b_401b_western_samoa.7z,0.039953199,0.033680104,0.030031946,0.029766376,0.031267615,MERRA,,,,- best reconstruction,
35,arcachon_eyrac_,-1.1636,44.665,./20cr/arcachon_eyrac_.7z,./era20c/arcachon_eyrac_.7z,./eraint/arcachon_eyrac_.7z,./merra/arcachon_eyrac_.7z,./erafive/arcachon_eyrac_.7z,0.111228092,0.12141286,0.127121807,0.129439152,0.124430024,20CR,- best reconstruction,,,,
36,"arecibo,_pr_735a_usa",-66.702,18.48,"./20cr/arecibo,_pr_735a_usa.7z","./era20c/arecibo,_pr_735a_usa.7z","./eraint/arecibo,_pr_735a_usa.7z","./merra/arecibo,_pr_735a_usa.7z","./erafive/arecibo,_pr_735a_usa.7z",0.034258063,0.041100707,0.033456744,0.033998837,0.03265496,ERA-FIVE,,,,,- best reconstruction
37,"arena_cove,_ca_573a_usa",-123.71,38.913,"./20cr/arena_cove,_ca_573a_usa.7z","./era20c/arena_cove,_ca_573a_usa.7z","./eraint/arena_cove,_ca_573a_usa.7z","./merra/arena_cove,_ca_573a_usa.7z","./erafive/arena_cove,_ca_573a_usa.7z",0.141543953,0.128281048,0.080728348,0.092176209,0.091585763,ERA-Interim,,,- best reconstruction,,
38,"argentia,nf_00835_canada",-53.983,47.3,"./20cr/argentia,nf_00835_canada.7z","./era20c/argentia,nf_00835_canada.7z","./eraint/argentia,nf_00835_canada.7z","./merra/argentia,nf_00835_canada.7z","./erafive/argentia,nf_00835_canada.7z",0.148301893,0.116191464,0.106785278,0.104370068,0.109378477,MERRA,,,,- best reconstruction,
39,arica_083a_chile,-70.333,-18.467,./20cr/arica_083a_chile.7z,./era20c/arica_083a_chile.7z,./eraint/arica_083a_chile.7z,./merra/arica_083a_chile.7z,./erafive/arica_083a_chile.7z,0.048579209,0.052059035,0.050472419,0.047515743,0.049888547,MERRA,,,,- best reconstruction,
40,arrecife_arre_spain,-13.53,28.972,./20cr/arrecife_arre_spain.7z,./era20c/arrecife_arre_spain.7z,./eraint/arrecife_arre_spain.7z,./merra/arrecife_arre_spain.7z,./erafive/arrecife_arre_spain.7z,0.093848839,0.092030129,0.092591319,0.090582694,0.090301345,ERA-FIVE,,,,,- best reconstruction
41,ascension_uk,-14.417,-7.9167,./20cr/ascension_uk.7z,./era20c/ascension_uk.7z,./eraint/ascension_uk.7z,./merra/ascension_uk.7z,./erafive/ascension_uk.7z,0.024207454,0.025195858,0.024073228,0.024181384,0.025503906,ERA-Interim,,,- best reconstruction,,
42,"astoria,or_572a_usa",-123.77,46.208,"./20cr/astoria,or_572a_usa.7z","./era20c/astoria,or_572a_usa.7z","./eraint/astoria,or_572a_usa.7z","./merra/astoria,or_572a_usa.7z","./erafive/astoria,or_572a_usa.7z",0.112883896,0.106561859,0.102501674,0.101890496,0.101569418,ERA-FIVE,,,,,- best reconstruction
43,atlantic_city_264a_usa,-74.418,39.355,./20cr/atlantic_city_264a_usa.7z,./era20c/atlantic_city_264a_usa.7z,./eraint/atlantic_city_264a_usa.7z,./merra/atlantic_city_264a_usa.7z,./erafive/atlantic_city_264a_usa.7z,0.15754181,0.118870051,0.148341273,0.134771075,0.133118712,ERA-20c,,- best reconstruction,,,
44,auckland_070a_new_zealand,174.77,-36.85,./20cr/auckland_070a_new_zealand.7z,./era20c/auckland_070a_new_zealand.7z,./eraint/auckland_070a_new_zealand.7z,./merra/auckland_070a_new_zealand.7z,./erafive/auckland_070a_new_zealand.7z,0.077932736,0.088018753,0.078300934,0.087650587,0.076589717,ERA-FIVE,,,,,- best reconstruction
45,avonmouth_p060_uk,-2.715,51.511,./20cr/avonmouth_p060_uk.7z,./era20c/avonmouth_p060_uk.7z,./eraint/avonmouth_p060_uk.7z,./merra/avonmouth_p060_uk.7z,./erafive/avonmouth_p060_uk.7z,0.244555337,0.233760085,0.219047361,0.235642284,0.222344925,ERA-Interim,,,- best reconstruction,,
46,awayuki_japan,134.6,33.767,./20cr/awayuki_japan.7z,./era20c/awayuki_japan.7z,./eraint/awayuki_japan.7z,./merra/awayuki_japan.7z,./erafive/awayuki_japan.7z,0.085199572,0.074919738,0.080747985,0.089049204,0.071747446,ERA-FIVE,,,,,- best reconstruction
47,ayukawa_japan,141.5,38.3,./20cr/ayukawa_japan.7z,./era20c/ayukawa_japan.7z,./eraint/ayukawa_japan.7z,./merra/ayukawa_japan.7z,./erafive/ayukawa_japan.7z,0.074764388,0.06209268,0.058047971,0.067943512,0.064401705,ERA-Interim,,,- best reconstruction,,
48,bahia_los_angeles_310a_mexico,-113.55,28.958,./20cr/bahia_los_angeles_310a_mexico.7z,./era20c/bahia_los_angeles_310a_mexico.7z,./eraint/bahia_los_angeles_310a_mexico.7z,./merra/bahia_los_angeles_310a_mexico.7z,./erafive/bahia_los_angeles_310a_mexico.7z,0.060340942,0.058814966,0.061746179,0.057027892,0.062044692,MERRA,,,,- best reconstruction,
49,bajor_414a_indonesia,117.42,-0.6833,./20cr/bajor_414a_indonesia.7z,./era20c/bajor_414a_indonesia.7z,,,,,,,,,,,,,,
50,bakar_bakar_I_croatia,14.533,45.3,./20cr/bakar_bakar_I_croatia.7z,./era20c/bakar_bakar_I_croatia.7z,./eraint/bakar_bakar_I_croatia.7z,./merra/bakar_bakar_I_croatia.7z,./erafive/bakar_bakar_I_croatia.7z,0.097180727,0.099005914,0.089396295,0.085694825,0.177102117,MERRA,,,,- best reconstruction,
51,balboa_302a_panama,-79.573,8.9617,./20cr/balboa_302a_panama.7z,./era20c/balboa_302a_panama.7z,./eraint/balboa_302a_panama.7z,./merra/balboa_302a_panama.7z,./erafive/balboa_302a_panama.7z,0.080995156,0.075193188,0.076611145,0.077502508,0.077534946,ERA-20c,,- best reconstruction,,,
52,balikpapan_411a_indonesia,116.8,-1.2667,./20cr/balikpapan_411a_indonesia.7z,./era20c/balikpapan_411a_indonesia.7z,,,,,,,,,,,,,,
53,baltimore_usa,-76.578,39.267,./20cr/baltimore_usa.7z,./era20c/baltimore_usa.7z,./eraint/baltimore_usa.7z,./merra/baltimore_usa.7z,./erafive/baltimore_usa.7z,0.129510975,0.152826393,0.122449507,0.130286151,0.127082292,ERA-Interim,,,- best reconstruction,,
54,baltra_b_003b_ecuador,-90.285,-0.435,./20cr/baltra_b_003b_ecuador.7z,./era20c/baltra_b_003b_ecuador.7z,./eraint/baltra_b_003b_ecuador.7z,./merra/baltra_b_003b_ecuador.7z,./erafive/baltra_b_003b_ecuador.7z,0.049884672,0.049939789,0.048259209,0.048612296,0.047732936,ERA-FIVE,,,,,- best reconstruction
55,"bamfield,bc_08545_canada",-125.14,48.836,"./20cr/bamfield,bc_08545_canada.7z","./era20c/bamfield,bc_08545_canada.7z","./eraint/bamfield,bc_08545_canada.7z","./merra/bamfield,bc_08545_canada.7z","./erafive/bamfield,bc_08545_canada.7z",0.125717892,0.128145845,0.099797526,0.103466725,0.101424904,ERA-Interim,,,- best reconstruction,,
56,bangor_p662_uk,-5.6695,54.665,./20cr/bangor_p662_uk.7z,./era20c/bangor_p662_uk.7z,./eraint/bangor_p662_uk.7z,./merra/bangor_p662_uk.7z,./erafive/bangor_p662_uk.7z,0.206824025,0.165424588,0.157659011,0.160352039,0.133239121,ERA-FIVE,,,,,- best reconstruction
57,"barbers_point,hi_547a_usa",-158.12,21.32,"./20cr/barbers_point,hi_547a_usa.7z","./era20c/barbers_point,hi_547a_usa.7z","./eraint/barbers_point,hi_547a_usa.7z","./merra/barbers_point,hi_547a_usa.7z","./erafive/barbers_point,hi_547a_usa.7z",0.031670348,0.029095897,0.029301262,0.029345608,0.030426824,ERA-20c,,- best reconstruction,,,
58,barcelona_barcelona_spain,2.163,41.342,./20cr/barcelona_barcelona_spain.7z,./era20c/barcelona_barcelona_spain.7z,./eraint/barcelona_barcelona_spain.7z,./merra/barcelona_barcelona_spain.7z,./erafive/barcelona_barcelona_spain.7z,0.062163135,0.065187176,0.064524147,0.064727283,0.06150311,ERA-FIVE,,,,,- best reconstruction
59,"barharbor,frenchmanbay,me_usa",-68.205,44.392,"./20cr/barharbor,frenchmanbay,me_usa.7z","./era20c/barharbor,frenchmanbay,me_usa.7z","./eraint/barharbor,frenchmanbay,me_usa.7z","./merra/barharbor,frenchmanbay,me_usa.7z","./erafive/barharbor,frenchmanbay,me_usa.7z",0.104849333,0.103267667,0.109631423,0.137664822,0.09989986,ERA-FIVE,,,,,- best reconstruction
60,bari_bari_italy,16.912,41.137,./20cr/bari_bari_italy.7z,./era20c/bari_bari_italy.7z,./eraint/bari_bari_italy.7z,./merra/bari_bari_italy.7z,./erafive/bari_bari_italy.7z,0.100192751,0.095563998,0.09741456,0.097323219,0.093256814,ERA-FIVE,,,,,- best reconstruction
61,barmouth_p923_uk,-4.0452,52.719,./20cr/barmouth_p923_uk.7z,./era20c/barmouth_p923_uk.7z,./eraint/barmouth_p923_uk.7z,./merra/barmouth_p923_uk.7z,./erafive/barmouth_p923_uk.7z,0.195622304,0.227213852,0.171787687,0.179456363,0.177026484,ERA-Interim,,,- best reconstruction,,
62,barseback_001_sweden,12.903,55.756,./20cr/barseback_001_sweden.7z,./era20c/barseback_001_sweden.7z,./eraint/barseback_001_sweden.7z,./merra/barseback_001_sweden.7z,./erafive/barseback_001_sweden.7z,0.117707546,0.126342406,0.114690001,0.126927568,0.122639308,ERA-Interim,,,- best reconstruction,,
63,base_prat_b_730b_chile,-59.633,-62.483,./20cr/base_prat_b_730b_chile.7z,./era20c/base_prat_b_730b_chile.7z,./eraint/base_prat_b_730b_chile.7z,./merra/base_prat_b_730b_chile.7z,./erafive/base_prat_b_730b_chile.7z,0.114583904,0.168913889,0.094365179,0.09796916,0.100940524,ERA-Interim,,,- best reconstruction,,
64,bayonne_boucau_,-1.5148,43.527,./20cr/bayonne_boucau_.7z,./era20c/bayonne_boucau_.7z,./eraint/bayonne_boucau_.7z,./merra/bayonne_boucau_.7z,./erafive/bayonne_boucau_.7z,0.094336325,0.086251731,0.082098989,0.088361676,0.0849835,ERA-Interim,,,- best reconstruction,,
65,beihai_636a_china,109.08,21.483,./20cr/beihai_636a_china.7z,./era20c/beihai_636a_china.7z,./eraint/beihai_636a_china.7z,./merra/beihai_636a_china.7z,./erafive/beihai_636a_china.7z,0.127942665,0.132717076,0.111944974,0.102860442,0.130538144,MERRA,,,,- best reconstruction,
66,"belem,_uscgs_229a_brazil",-48.5,-1.45,"./20cr/belem,_uscgs_229a_brazil.7z","./era20c/belem,_uscgs_229a_brazil.7z",,,,,,,,,,,,,,
67,belize_781a_british_honduras,-88.183,17.5,./20cr/belize_781a_british_honduras.7z,./era20c/belize_781a_british_honduras.7z,,,,,,,,,,,,,,
68,"bellabella,bc_08976_canada",-128.14,52.163,"./20cr/bellabella,bc_08976_canada.7z","./era20c/bellabella,bc_08976_canada.7z","./eraint/bellabella,bc_08976_canada.7z","./merra/bellabella,bc_08976_canada.7z","./erafive/bellabella,bc_08976_canada.7z",0.123864782,0.136642278,0.108386126,0.1173443,0.116868365,ERA-Interim,,,- best reconstruction,,
69,benoa_b_163b_indonesia,115.21,-8.745,./20cr/benoa_b_163b_indonesia.7z,./era20c/benoa_b_163b_indonesia.7z,./eraint/benoa_b_163b_indonesia.7z,./merra/benoa_b_163b_indonesia.7z,./erafive/benoa_b_163b_indonesia.7z,0.085699961,0.086244228,0.086135897,0.086033693,0.085850609,20CR,- best reconstruction,,,,
70,"bermuda,st.georgesisland_001",-64.7,32.4,"./20cr/bermuda,st.georgesisland_001.7z","./era20c/bermuda,st.georgesisland_001.7z","./eraint/bermuda,st.georgesisland_001.7z","./merra/bermuda,st.georgesisland_001.7z","./erafive/bermuda,st.georgesisland_001.7z",0.084575916,0.074816648,0.077946534,0.090777012,0.087874582,ERA-20c,,- best reconstruction,,,
71,bilbao_bilbao_spain,-3.05,43.357,./20cr/bilbao_bilbao_spain.7z,./era20c/bilbao_bilbao_spain.7z,./eraint/bilbao_bilbao_spain.7z,./merra/bilbao_bilbao_spain.7z,./erafive/bilbao_bilbao_spain.7z,0.07335099,0.074445023,0.060261034,0.065814883,0.066925774,ERA-Interim,,,- best reconstruction,,
72,bintulu_387a_malaysia,113.07,3.2167,./20cr/bintulu_387a_malaysia.7z,./era20c/bintulu_387a_malaysia.7z,./eraint/bintulu_387a_malaysia.7z,./merra/bintulu_387a_malaysia.7z,./erafive/bintulu_387a_malaysia.7z,0.055140438,0.05334957,0.052914441,0.053178255,0.050519998,ERA-FIVE,,,,,- best reconstruction
73,bitung_033a_indonesia,125.19,1.44,./20cr/bitung_033a_indonesia.7z,./era20c/bitung_033a_indonesia.7z,./eraint/bitung_033a_indonesia.7z,./merra/bitung_033a_indonesia.7z,./erafive/bitung_033a_indonesia.7z,0.036894344,0.037076163,0.038300433,0.037703355,0.03776348,20CR,- best reconstruction,,,,
74,bjorn_028_sweden,17.967,60.633,./20cr/bjorn_028_sweden.7z,./era20c/bjorn_028_sweden.7z,,,,,,,,,,,,,,
75,bluff_072a_new_zealand,168.35,-46.6,./20cr/bluff_072a_new_zealand.7z,./era20c/bluff_072a_new_zealand.7z,./eraint/bluff_072a_new_zealand.7z,./merra/bluff_072a_new_zealand.7z,./erafive/bluff_072a_new_zealand.7z,0.117901087,0.102940127,0.089872898,0.096051967,0.083446353,ERA-FIVE,,,,,- best reconstruction
76,bonanza_bonanza_spain,-6.34,36.8,./20cr/bonanza_bonanza_spain.7z,./era20c/bonanza_bonanza_spain.7z,./eraint/bonanza_bonanza_spain.7z,./merra/bonanza_bonanza_spain.7z,./erafive/bonanza_bonanza_spain.7z,0.070648072,0.118605585,0.068847754,0.071931635,0.07779073,ERA-Interim,,,- best reconstruction,,
77,booby_island_336a_australia,141.92,-10.6,./20cr/booby_island_336a_australia.7z,./era20c/booby_island_336a_australia.7z,./eraint/booby_island_336a_australia.7z,./merra/booby_island_336a_australia.7z,./erafive/booby_island_336a_australia.7z,0.11266224,0.11215174,0.105709742,0.107531953,0.106380378,ERA-Interim,,,- best reconstruction,,
78,"boston,ma_741a_usa",-71.052,42.355,"./20cr/boston,ma_741a_usa.7z","./era20c/boston,ma_741a_usa.7z","./eraint/boston,ma_741a_usa.7z","./merra/boston,ma_741a_usa.7z","./erafive/boston,ma_741a_usa.7z",0.120092944,0.112262882,0.103583939,0.130735349,0.10295141,ERA-FIVE,,,,,- best reconstruction
79,boulogne_sur_mer_,1.5777,50.727,./20cr/boulogne_sur_mer_.7z,./era20c/boulogne_sur_mer_.7z,./eraint/boulogne_sur_mer_.7z,./merra/boulogne_sur_mer_.7z,./erafive/boulogne_sur_mer_.7z,0.19425645,0.212196969,0.197196843,0.188689116,0.187275945,ERA-FIVE,,,,,- best reconstruction
80,bournemouth_p988_uk,-1.8749,50.714,./20cr/bournemouth_p988_uk.7z,./era20c/bournemouth_p988_uk.7z,./eraint/bournemouth_p988_uk.7z,./merra/bournemouth_p988_uk.7z,./erafive/bournemouth_p988_uk.7z,0.11348777,0.106530173,0.101157838,0.104917124,0.106793985,ERA-Interim,,,- best reconstruction,,
81,brest_,-4.5,48.383,./20cr/brest_.7z,./era20c/brest_.7z,./eraint/brest_.7z,./merra/brest_.7z,./erafive/brest_.7z,0.087999049,0.088879955,0.090847493,0.095016951,0.099782218,20CR,- best reconstruction,,,,
82,bridgeport_usa,-73.182,41.173,./20cr/bridgeport_usa.7z,./era20c/bridgeport_usa.7z,./eraint/bridgeport_usa.7z,./merra/bridgeport_usa.7z,./erafive/bridgeport_usa.7z,0.169535521,0.150313107,0.138982412,0.143773302,0.125296481,ERA-FIVE,,,,,- best reconstruction
83,bridgetown_d_249d_barbados,-59.617,13.1,./20cr/bridgetown_d_249d_barbados.7z,./era20c/bridgetown_d_249d_barbados.7z,./eraint/bridgetown_d_249d_barbados.7z,./merra/bridgetown_d_249d_barbados.7z,./erafive/bridgetown_d_249d_barbados.7z,0.052017504,0.054354516,0.047262588,0.048182607,0.048651361,ERA-Interim,,,- best reconstruction,,
