,tg,lon,lat,twcrPath,era20cPath,eraintPath,merraPath,erafivePath,20CR,ERA-20c,ERA-Interim,MERRA,ERA-FIVE,lowestRMSE,twcrBest,era20cBest,eraintBest,merraBest,erafiveBest
0,"aasiaat,greenland_001",-52.883,68.71,"./20cr/aasiaat,greenland_001.7z","./era20c/aasiaat,greenland_001.7z","./eraint/aasiaat,greenland_001.7z","./merra/aasiaat,greenland_001.7z","./erafive/aasiaat,greenland_001.7z",0.102574923,0.090100633,0.100420209,0.094336216,0.078772749,ERA-FIVE,,,,,- best reconstruction
1,abashiri_japan,144.28,44.017,./20cr/abashiri_japan.7z,./era20c/abashiri_japan.7z,./eraint/abashiri_japan.7z,./merra/abashiri_japan.7z,./erafive/abashiri_japan.7z,0.08714598,0.100167093,0.055978459,0.066354704,0.102853804,ERA-Interim,,,- best reconstruction,,
2,aberdeen_p038_uk,-2.0745,57.143,./20cr/aberdeen_p038_uk.7z,./era20c/aberdeen_p038_uk.7z,./eraint/aberdeen_p038_uk.7z,./merra/aberdeen_p038_uk.7z,./erafive/aberdeen_p038_uk.7z,0.126852885,0.113491366,0.129427982,0.122064718,0.103286402,ERA-FIVE,,,,,- best reconstruction
3,abidjan_vridi_230a_ivory_coast,-4,5.2417,./20cr/abidjan_vridi_230a_ivory_coast.7z,./era20c/abidjan_vridi_230a_ivory_coast.7z,./eraint/abidjan_vridi_230a_ivory_coast.7z,./merra/abidjan_vridi_230a_ivory_coast.7z,./erafive/abidjan_vridi_230a_ivory_coast.7z,0.053592318,0.051360035,0.051323714,0.048724377,0.048289038,ERA-FIVE,,,,,- best reconstruction
4,aburatsu_japan,131.42,31.567,./20cr/aburatsu_japan.7z,./era20c/aburatsu_japan.7z,./eraint/aburatsu_japan.7z,./merra/aburatsu_japan.7z,./erafive/aburatsu_japan.7z,0.081870305,0.080352857,0.071020433,0.07873901,0.072150261,ERA-Interim,,,- best reconstruction,,
5,acajutla_c_082c_el_salvador,-89.833,13.583,./20cr/acajutla_c_082c_el_salvador.7z,./era20c/acajutla_c_082c_el_salvador.7z,./eraint/acajutla_c_082c_el_salvador.7z,./merra/acajutla_c_082c_el_salvador.7z,./erafive/acajutla_c_082c_el_salvador.7z,0.071519827,0.069013217,0.067677565,0.067812684,0.068188909,ERA-Interim,,,- best reconstruction,,
6,"acapulco_c,gro._316c_mexico",-99.912,16.84,"./20cr/acapulco_c,gro._316c_mexico.7z","./era20c/acapulco_c,gro._316c_mexico.7z","./eraint/acapulco_c,gro._316c_mexico.7z","./merra/acapulco_c,gro._316c_mexico.7z","./erafive/acapulco_c,gro._316c_mexico.7z",0.065326833,0.066401255,0.063435872,0.063934974,0.064426753,ERA-Interim,,,- best reconstruction,,
7,"adak,alaska_040a_usa",-176.63,51.863,"./20cr/adak,alaska_040a_usa.7z","./era20c/adak,alaska_040a_usa.7z","./eraint/adak,alaska_040a_usa.7z","./merra/adak,alaska_040a_usa.7z","./erafive/adak,alaska_040a_usa.7z",0.120315411,0.120709729,0.117866636,0.089689545,0.112697654,MERRA,,,,- best reconstruction,
8,"aden_172a_yemen,_p.d.r",44.975,12.788,"./20cr/aden_172a_yemen,_p.d.r.7z","./era20c/aden_172a_yemen,_p.d.r.7z","./eraint/aden_172a_yemen,_p.d.r.7z","./merra/aden_172a_yemen,_p.d.r.7z","./erafive/aden_172a_yemen,_p.d.r.7z",0.037042346,0.037429144,0.036654181,0.038295638,0.038032708,ERA-Interim,,,- best reconstruction,,
9,"aguadilla,pr_263a_usa",-67.163,18.457,"./20cr/aguadilla,pr_263a_usa.7z","./era20c/aguadilla,pr_263a_usa.7z","./eraint/aguadilla,pr_263a_usa.7z","./merra/aguadilla,pr_263a_usa.7z","./erafive/aguadilla,pr_263a_usa.7z",0.030859844,0.031995397,0.030488772,0.03155339,0.032007323,ERA-Interim,,,- best reconstruction,,
10,ajaccio_aspretto_france,8.7628,41.923,./20cr/ajaccio_aspretto_france.7z,./era20c/ajaccio_aspretto_france.7z,./eraint/ajaccio_aspretto_france.7z,./merra/ajaccio_aspretto_france.7z,./erafive/ajaccio_aspretto_france.7z,0.058967056,0.059323174,0.059768002,0.058181849,0.05466566,ERA-FIVE,,,,,- best reconstruction
11,akabane_japan,137.18,34.6,./20cr/akabane_japan.7z,./era20c/akabane_japan.7z,./eraint/akabane_japan.7z,./merra/akabane_japan.7z,./erafive/akabane_japan.7z,0.103028418,0.092503538,0.100747765,0.090334853,0.090280756,ERA-FIVE,,,,,- best reconstruction
12,akyab__sittwe__907a_myanmar,92.903,20.14,./20cr/akyab__sittwe__907a_myanmar.7z,./era20c/akyab__sittwe__907a_myanmar.7z,./eraint/akyab__sittwe__907a_myanmar.7z,./merra/akyab__sittwe__907a_myanmar.7z,./erafive/akyab__sittwe__907a_myanmar.7z,0.101727504,0.09603923,0.092793609,0.094815704,0.093129516,ERA-Interim,,,- best reconstruction,,
13,alameda_navalairstation__usa,-122.3,37.772,./20cr/alameda_navalairstation__usa.7z,./era20c/alameda_navalairstation__usa.7z,./eraint/alameda_navalairstation__usa.7z,./merra/alameda_navalairstation__usa.7z,./erafive/alameda_navalairstation__usa.7z,0.064976652,0.076051273,0.056894731,0.073724482,0.05797454,ERA-Interim,,,- best reconstruction,,
14,albany_001_australia,117.88,-35.024,./20cr/albany_001_australia.7z,./era20c/albany_001_australia.7z,./eraint/albany_001_australia.7z,./merra/albany_001_australia.7z,./erafive/albany_001_australia.7z,0.080381972,0.07269216,0.068033877,0.074605996,0.071672877,ERA-Interim,,,- best reconstruction,,
15,alcudia_alcudia_spain,3.1392,39.835,./20cr/alcudia_alcudia_spain.7z,./era20c/alcudia_alcudia_spain.7z,./eraint/alcudia_alcudia_spain.7z,./merra/alcudia_alcudia_spain.7z,./erafive/alcudia_alcudia_spain.7z,0.064164615,0.073942177,0.079486312,0.06609543,0.062907615,ERA-FIVE,,,,,- best reconstruction
16,"alertbay,bc_08280_canada",-126.93,50.587,"./20cr/alertbay,bc_08280_canada.7z","./era20c/alertbay,bc_08280_canada.7z",,,,,,,,,,,,,,
17,alexandria_330071_egypt,29.917,31.217,./20cr/alexandria_330071_egypt.7z,./era20c/alexandria_330071_egypt.7z,,,,,,,,,,,,,,
