,tg,lon_x,lat_x,twcrPath,era20cPath,eraintPath,merraPath,erafivePath,20CR,ERA-20c,ERA-Interim,MERRA,ERA-FIVE,lowestRMSE,twcrBest,era20cBest,eraintBest,merraBest,erafiveBest
0,"aasiaat,greenland_001.csv",-52.883,68.71,"./20cr/aasiaat,greenland_001.7z","./era20c/aasiaat,greenland_001.7z","./eraint/aasiaat,greenland_001.7z","./merra/aasiaat,greenland_001.7z","./erafive/aasiaat,greenland_001.7z",0.10257492300000001,0.09010063300000001,0.10042020900000001,0.094336216,0.078772749,ERA-FIVE,nan,nan,nan,nan,best
1,abashiri_japan.csv,144.28,44.016999999999996,./20cr/abashiri_japan.7z,./era20c/abashiri_japan.7z,./eraint/abashiri_japan.7z,./merra/abashiri_japan.7z,./erafive/abashiri_japan.7z,0.08714598,0.10016709300000001,0.055978459,0.066354704,0.10285380400000001,ERA-Interim,nan,nan,best,nan,nan
2,aberdeen_p038_uk.csv,-2.0745,57.143,./20cr/aberdeen_p038_uk.7z,./era20c/aberdeen_p038_uk.7z,./eraint/aberdeen_p038_uk.7z,./merra/aberdeen_p038_uk.7z,./erafive/aberdeen_p038_uk.7z,0.126852885,0.113491366,0.129427982,0.122064718,0.103286402,ERA-FIVE,nan,nan,nan,nan,best
3,abidjan_vridi_230a_ivory_coast.csv,-4.0,5.2417,./20cr/abidjan_vridi_230a_ivory_coast.7z,./era20c/abidjan_vridi_230a_ivory_coast.7z,./eraint/abidjan_vridi_230a_ivory_coast.7z,./merra/abidjan_vridi_230a_ivory_coast.7z,./erafive/abidjan_vridi_230a_ivory_coast.7z,0.053592318,0.051360035,0.051323714000000006,0.048724377,0.048289038,ERA-FIVE,nan,nan,nan,nan,best
4,aburatsu_japan.csv,131.42,31.566999999999997,./20cr/aburatsu_japan.7z,./era20c/aburatsu_japan.7z,./eraint/aburatsu_japan.7z,./merra/aburatsu_japan.7z,./erafive/aburatsu_japan.7z,0.081870305,0.080352857,0.071020433,0.07873901,0.072150261,ERA-Interim,nan,nan,best,nan,nan
5,acajutla_c_082c_el_salvador.csv,-89.833,13.583,./20cr/acajutla_c_082c_el_salvador.7z,./era20c/acajutla_c_082c_el_salvador.7z,./eraint/acajutla_c_082c_el_salvador.7z,./merra/acajutla_c_082c_el_salvador.7z,./erafive/acajutla_c_082c_el_salvador.7z,0.07151982700000001,0.069013217,0.067677565,0.067812684,0.068188909,ERA-Interim,nan,nan,best,nan,nan
6,"acapulco_c,gro._316c_mexico.csv",-99.912,16.84,"./20cr/acapulco_c,gro._316c_mexico.7z","./era20c/acapulco_c,gro._316c_mexico.7z","./eraint/acapulco_c,gro._316c_mexico.7z","./merra/acapulco_c,gro._316c_mexico.7z","./erafive/acapulco_c,gro._316c_mexico.7z",0.065326833,0.066401255,0.063435872,0.063934974,0.064426753,ERA-Interim,nan,nan,best,nan,nan
7,"adak,alaska_040a_usa.csv",-176.63,51.863,"./20cr/adak,alaska_040a_usa.7z","./era20c/adak,alaska_040a_usa.7z","./eraint/adak,alaska_040a_usa.7z","./merra/adak,alaska_040a_usa.7z","./erafive/adak,alaska_040a_usa.7z",0.120315411,0.120709729,0.117866636,0.089689545,0.11269765400000001,MERRA,nan,nan,nan,best,nan
8,"aden_172a_yemen,_p.d.r.csv",44.975,12.788,"./20cr/aden_172a_yemen,_p.d.r.7z","./era20c/aden_172a_yemen,_p.d.r.7z","./eraint/aden_172a_yemen,_p.d.r.7z","./merra/aden_172a_yemen,_p.d.r.7z","./erafive/aden_172a_yemen,_p.d.r.7z",0.037042346000000004,0.037429144,0.036654181,0.038295638,0.038032708,ERA-Interim,nan,nan,best,nan,nan
9,"aguadilla,pr_263a_usa.csv",-67.163,18.457,"./20cr/aguadilla,pr_263a_usa.7z","./era20c/aguadilla,pr_263a_usa.7z","./eraint/aguadilla,pr_263a_usa.7z","./merra/aguadilla,pr_263a_usa.7z","./erafive/aguadilla,pr_263a_usa.7z",0.030859843999999997,0.031995397,0.030488772,0.03155339,0.032007323,ERA-Interim,nan,nan,best,nan,nan
10,ajaccio_aspretto_france.csv,8.7628,41.923,./20cr/ajaccio_aspretto_france.7z,./era20c/ajaccio_aspretto_france.7z,./eraint/ajaccio_aspretto_france.7z,./merra/ajaccio_aspretto_france.7z,./erafive/ajaccio_aspretto_france.7z,0.058967056,0.059323174000000006,0.059768002,0.058181849,0.05466566,ERA-FIVE,nan,nan,nan,nan,best
11,akabane_japan.csv,137.18,34.6,./20cr/akabane_japan.7z,./era20c/akabane_japan.7z,./eraint/akabane_japan.7z,./merra/akabane_japan.7z,./erafive/akabane_japan.7z,0.10302841800000001,0.09250353800000001,0.100747765,0.090334853,0.09028075599999999,ERA-FIVE,nan,nan,nan,nan,best
12,akyab__sittwe__907a_myanmar.csv,92.90299999999999,20.14,./20cr/akyab__sittwe__907a_myanmar.7z,./era20c/akyab__sittwe__907a_myanmar.7z,./eraint/akyab__sittwe__907a_myanmar.7z,./merra/akyab__sittwe__907a_myanmar.7z,./erafive/akyab__sittwe__907a_myanmar.7z,0.10172750400000001,0.09603923,0.092793609,0.094815704,0.093129516,ERA-Interim,nan,nan,best,nan,nan
13,alameda_navalairstation__usa.csv,-122.3,37.772,./20cr/alameda_navalairstation__usa.7z,./era20c/alameda_navalairstation__usa.7z,./eraint/alameda_navalairstation__usa.7z,./merra/alameda_navalairstation__usa.7z,./erafive/alameda_navalairstation__usa.7z,0.064976652,0.076051273,0.056894731,0.07372448200000001,0.05797454,ERA-Interim,nan,nan,best,nan,nan
14,albany_001_australia.csv,117.88,-35.024,./20cr/albany_001_australia.7z,./era20c/albany_001_australia.7z,./eraint/albany_001_australia.7z,./merra/albany_001_australia.7z,./erafive/albany_001_australia.7z,0.080381972,0.07269216,0.068033877,0.074605996,0.071672877,ERA-Interim,nan,nan,best,nan,nan
15,alcudia_alcudia_spain.csv,3.1392,39.835,./20cr/alcudia_alcudia_spain.7z,./era20c/alcudia_alcudia_spain.7z,./eraint/alcudia_alcudia_spain.7z,./merra/alcudia_alcudia_spain.7z,./erafive/alcudia_alcudia_spain.7z,0.064164615,0.073942177,0.079486312,0.06609543,0.062907615,ERA-FIVE,nan,nan,nan,nan,best
16,"alertbay,bc_08280_canada.csv",-126.93,50.586999999999996,"./20cr/alertbay,bc_08280_canada.7z","./era20c/alertbay,bc_08280_canada.7z",,,,,,,,,,nan,nan,nan,nan,nan
17,alexandria_330071_egypt.csv,29.916999999999998,31.217,./20cr/alexandria_330071_egypt.7z,./era20c/alexandria_330071_egypt.7z,,,,,,,,,,nan,nan,nan,nan,nan
18,algeciras_alge_spain.csv,-5.4333,36.117,./20cr/algeciras_alge_spain.7z,./era20c/algeciras_alge_spain.7z,./eraint/algeciras_alge_spain.7z,./merra/algeciras_alge_spain.7z,./erafive/algeciras_alge_spain.7z,0.128697174,0.125715931,0.128486353,0.11233484,0.111061134,ERA-FIVE,nan,nan,nan,nan,best
19,almeria_almeria_spain.csv,-2.478,36.83,./20cr/almeria_almeria_spain.7z,./era20c/almeria_almeria_spain.7z,./eraint/almeria_almeria_spain.7z,./merra/almeria_almeria_spain.7z,./erafive/almeria_almeria_spain.7z,0.05666908,0.059193997000000005,0.089090389,0.059358645999999994,0.091151223,20CR,best,nan,nan,nan,nan
20,alotau_069a_papua_new_guinea.csv,150.45,-10.168,./20cr/alotau_069a_papua_new_guinea.7z,./era20c/alotau_069a_papua_new_guinea.7z,./eraint/alotau_069a_papua_new_guinea.7z,./merra/alotau_069a_papua_new_guinea.7z,./erafive/alotau_069a_papua_new_guinea.7z,0.034461097999999996,0.03505272,0.033616263,0.032997575,0.034305639,MERRA,nan,nan,nan,best,nan
21,amami_japan.csv,129.53,28.316999999999997,./20cr/amami_japan.7z,./era20c/amami_japan.7z,./eraint/amami_japan.7z,./merra/amami_japan.7z,./erafive/amami_japan.7z,0.066716922,0.065775942,0.064098815,0.062891972,0.059984000999999995,ERA-FIVE,nan,nan,nan,nan,best
22,ambon_b_133b_indonesia.csv,128.18,-3.6833,./20cr/ambon_b_133b_indonesia.7z,./era20c/ambon_b_133b_indonesia.7z,./eraint/ambon_b_133b_indonesia.7z,./merra/ambon_b_133b_indonesia.7z,./erafive/ambon_b_133b_indonesia.7z,0.062203346,0.062704493,0.055385388,0.065707048,0.061887740999999996,ERA-Interim,nan,nan,best,nan,nan
23,"ammassalik,greenland_001.csv",-37.0,65.5,"./20cr/ammassalik,greenland_001.7z","./era20c/ammassalik,greenland_001.7z","./eraint/ammassalik,greenland_001.7z","./merra/ammassalik,greenland_001.7z","./erafive/ammassalik,greenland_001.7z",0.17130799100000002,0.162750429,0.163652292,0.167811812,0.16948452600000002,ERA-20c,nan,best,nan,nan,nan
24,ammassalik_297a_denmark.csv,-37.0,65.6,./20cr/ammassalik_297a_denmark.7z,./era20c/ammassalik_297a_denmark.7z,./eraint/ammassalik_297a_denmark.7z,./merra/ammassalik_297a_denmark.7z,./erafive/ammassalik_297a_denmark.7z,0.157876351,0.155095481,0.137633946,0.146634305,0.155719235,ERA-Interim,nan,nan,best,nan,nan
25,anchorage_usa.csv,-149.89,61.238,./20cr/anchorage_usa.7z,./era20c/anchorage_usa.7z,./eraint/anchorage_usa.7z,./merra/anchorage_usa.7z,./erafive/anchorage_usa.7z,0.175444428,0.174030083,0.166309895,0.170864794,0.17311202,ERA-Interim,nan,nan,best,nan,nan
26,ancona_ancona_italy.csv,13.505999999999998,43.625,./20cr/ancona_ancona_italy.7z,./era20c/ancona_ancona_italy.7z,./eraint/ancona_ancona_italy.7z,./merra/ancona_ancona_italy.7z,./erafive/ancona_ancona_italy.7z,0.094008757,0.098173131,0.09759167,0.100358222,0.095008911,20CR,best,nan,nan,nan,nan
27,andenes_001.csv,16.15,69.317,./20cr/andenes_001.7z,./era20c/andenes_001.7z,./eraint/andenes_001.7z,./merra/andenes_001.7z,./erafive/andenes_001.7z,0.144701993,0.128296819,0.114719703,0.113693244,0.110857181,ERA-FIVE,nan,nan,nan,nan,best
28,anewa_bay_048a_papua_new_guinea.csv,155.88,-6.1833,./20cr/anewa_bay_048a_papua_new_guinea.7z,./era20c/anewa_bay_048a_papua_new_guinea.7z,,,,,,,,,,nan,nan,nan,nan,nan
29,angra_heroismo_b_215b_portugal.csv,-27.24,38.65,./20cr/angra_heroismo_b_215b_portugal.7z,./era20c/angra_heroismo_b_215b_portugal.7z,./eraint/angra_heroismo_b_215b_portugal.7z,./merra/angra_heroismo_b_215b_portugal.7z,./erafive/angra_heroismo_b_215b_portugal.7z,0.055063445999999995,0.050391882,0.049140475999999995,0.052119207,0.059139448,ERA-Interim,nan,nan,best,nan,nan
30,annapolis_navalacademy__usa.csv,-76.482,38.983000000000004,./20cr/annapolis_navalacademy__usa.7z,./era20c/annapolis_navalacademy__usa.7z,./eraint/annapolis_navalacademy__usa.7z,./merra/annapolis_navalacademy__usa.7z,./erafive/annapolis_navalacademy__usa.7z,0.130570275,0.146561478,0.123861996,0.130773101,0.120154075,ERA-FIVE,nan,nan,nan,nan,best
31,antalya_anta_turkey.csv,30.616999999999997,36.833,./20cr/antalya_anta_turkey.7z,./era20c/antalya_anta_turkey.7z,,,,,,,,,,nan,nan,nan,nan,nan
32,antofagasta_080a_chile.csv,-70.4,-23.65,./20cr/antofagasta_080a_chile.7z,./era20c/antofagasta_080a_chile.7z,./eraint/antofagasta_080a_chile.7z,./merra/antofagasta_080a_chile.7z,./erafive/antofagasta_080a_chile.7z,0.047986438,0.04801307,0.048527025,0.048088257,0.047625956,ERA-FIVE,nan,nan,nan,nan,best
33,apalachicola_usa.csv,-84.98200000000001,29.726999999999997,./20cr/apalachicola_usa.7z,./era20c/apalachicola_usa.7z,./eraint/apalachicola_usa.7z,./merra/apalachicola_usa.7z,./erafive/apalachicola_usa.7z,0.117806248,0.19976960000000002,0.107737489,0.117664171,0.10890575300000001,ERA-Interim,nan,nan,best,nan,nan
34,apia_b_401b_western_samoa.csv,-171.75,-13.817,./20cr/apia_b_401b_western_samoa.7z,./era20c/apia_b_401b_western_samoa.7z,./eraint/apia_b_401b_western_samoa.7z,./merra/apia_b_401b_western_samoa.7z,./erafive/apia_b_401b_western_samoa.7z,0.039953199,0.033680104,0.030031946,0.029766376,0.031267615,MERRA,nan,nan,nan,best,nan
35,arcachon_eyrac_.csv,-1.1636,44.665,./20cr/arcachon_eyrac_.7z,./era20c/arcachon_eyrac_.7z,./eraint/arcachon_eyrac_.7z,./merra/arcachon_eyrac_.7z,./erafive/arcachon_eyrac_.7z,0.11122809199999999,0.12141286,0.127121807,0.129439152,0.124430024,20CR,best,nan,nan,nan,nan
