,tg,lon_x,lat_x,e99_1930,e99_1950,t99_1930,t99_1950
0,aberdeen_p038_uk,-2.0745,57.143,0.938043635,,1.144014084,1.246101033
1,alcudia_alcudia_spain,3.1392,39.835,0.110381382,,,
2,auckland_070a_new_zealand,174.77,-36.85,0.394599229,,,
3,barmouth_p923_uk,-4.0452,52.719,0.913086145,,,
4,barseback_001_sweden,12.903,55.756,1.297967419,1.158130631,0.505245606,
5,boulogne_sur_mer_,1.5777,50.727,1.17319578,,0.852504751,1.278777179
6,bournemouth_p988_uk,-1.8749,50.714,0.363408515,,,
7,calais_,1.8677,50.969,1.391885234,,,
8,cape_ferguson_343a_australia,147.06,-19.277,0.308879343,,,
9,castletownsend_835a_ireland,-9.1833,51.533,0.479317807,,,
10,concarneau_,-3.9072,47.874,0.507452982,,,
11,cuxhaven_germany,8.7167,53.867,4.541193639,2.90569237,3.006152788,
12,delfzijl_del_nl,6.9331,53.326,3.597583673,2.907258717,,
13,denhelder_hel_nl,4.7464,52.965,1.724993747,,1.684306391,
14,donges_,-2.0883,47.306,1.014530392,,,
15,dover_p012_uk,1.3181,51.117,1.676184825,1.452927273,0.649574955,0.561622365
16,dunkerque_,2.3667,51.048,1.241820296,,1.156425931,
17,esbjerg_130121_denmark,8.4333,55.467,1.739793989,,1.97460537,
18,felixstowe_p204_uk,1.3484,51.957,1.428926044,,0.847075148,
19,fishguard_p055_uk,-4.9833,52.014,0.711840912,,,
20,gladstone_p234_uk,-3.018,53.45,1.521093581,1.208078699,2.268155653,1.860525804
21,goteborgtorshamnen_005_sweden,11.8,57.683,1.83302077,1.595225147,0.50468808,0.71720534
22,heysham_p050_uk,-2.9204,54.032,1.877620387,,1.492112651,
23,hoekvanholla_hvh_nl,4.12,51.977,2.366515586,1.622348261,1.454829782,1.574018803
24,hornbaek_838a_denmark,12.467,56.1,1.407265719,1.181308293,0.870446486,
25,kinlochbervi_p918_uk,-5.0504,58.457,1.027687118,0.8822805,0.909338756,1.366349331
26,kungsvik_009_sweden,11.127,58.997,1.293633078,1.238176365,0.586481037,
27,leith_p034_uk,-3.1817,55.99,0.872502635,,0.825056021,
28,lerwick_p041_uk,-1.1333,60.15,0.429530388,,0.370702644,0.669018747
29,le_conquet_,-4.7807,48.359,0.495933431,,,
30,le_havre_,0.106,49.482,1.187392945,,,
31,lowestoft_p024_uk,1.7508,52.473,0.943264852,,0.782192052,
32,maaloey_003_norway,5.1133,61.934,0.894929691,,0.79213625,0.662065039
33,marseille_france,5.35,43.3,0.326063974,,,
34,milfordhaven_p056_uk,-5.0143,51.702,0.70579879,,,
35,millport_p049_uk,-4.9058,55.75,1.637863492,2.071646892,0.996274569,0.8099474
36,morayfirth_p207_uk,-4.0022,57.599,0.889540679,,1.053240811,0.982594828
37,mumbles_p932_uk,-3.9754,51.57,0.941743847,0.746571712,0.517994693,
38,newhaven_p011_uk,0.05703,50.782,0.894572737,,0.636673024,
39,northshields_p032_uk,-1.4398,55.007,1.330222538,1.275326013,0.845731919,
40,ortona_ortona_italy,14.415,42.356,0.40302653,,,-0.295687155
41,oslo_004_norway,10.734,59.909,1.089109761,1.734005167,0.82065785,0.881174563
42,portellen_p202_uk,-6.1901,55.627,1.270512111,1.179958108,1.453861758,1.759669149
43,porterin_p919_uk,-4.7681,54.085,1.003073036,,1.316105374,1.269257303
44,"portland,s.aus._129a_australia",141.6,-38.333,0.790056684,0.576715708,,1.230582631
45,portlonsdale_017_australia,138.5,-35.099,1.006460227,,,
46,portpatrick_p063_uk,-5.12,54.843,0.924957785,,0.877496409,0.812865049
47,portpirie_024_australia,138.01,-33.177,1.86342557,,,1.11014464
48,portrush_p935_uk,-6.6568,55.207,1.405006644,,1.288983555,
49,portsmouth_p008_uk,-1.1118,50.803,0.793041274,0.685887693,,
50,port_camargue_france,4.1264,43.52,0.180115624,,0.156972751,
51,port_stanvac_100a_australia,138.47,-35.108,1.625905169,,,
52,ringhals_016_sweden,12.113,57.25,1.502138273,1.508715632,0.516767013,0.860238166
53,saint_malo_,-2.0281,48.641,0.726921117,,0.475068513,
54,smogen_020_sweden,11.218,58.354,1.314251541,1.536717552,1.098402768,1.231004883
55,stenungsund_022_sweden,11.832,58.093,1.499394979,1.401046058,0.994543493,1.236845879
56,sthelier_p074_uk,-2.1167,49.183,0.748837078,0.643681265,,
57,stornoway_p042_uk,-6.3882,58.208,0.730993126,0.844561372,0.91324735,1.277341363
58,taranaki_076a_new_zealand,174.03,-39.05,0.535025778,,,
59,tauranga_073a_new_zealand,176.18,-37.65,0.360256882,,,0.581495323
60,tenerife_tenerife_spain,-16.24,28.478,0.270551372,0.363435563,,
61,thevenard_026_australia,133.65,-32.146,0.941868989,,,0.918228461
62,tobermory_p223_uk,-6.0642,56.623,1.604650938,,0.667630774,
63,tregde_006_norway,7.5666,58,0.578187466,,0.580195831,0.654854935
64,ullapool_p043_uk,-5.1579,57.895,1.088143821,1.693616023,1.008616891,1.88196591
65,varberg1_024_sweden,12.217,57.1,1.657078835,1.762018816,0.517266468,0.637282517
66,victorharbor_027_australia,138.62,-35.553,0.761997262,,,
67,viken_025_sweden,12.579,56.142,1.573009054,1.312549197,1.103315984,1.589529865
68,weymouth_p991_uk,-2.4479,50.608,0.749896058,,,
69,whitby_p174_uk,-0.61417,54.49,1.360943112,,1.511985609,1.889128197
70,wick_p035_uk,-3.0863,58.441,0.8316092,0.856303568,1.08556122,1.404643233
71,workington_p217_uk,-3.5676,54.651,1.528359385,1.210999558,,
72,andenes_001,16.15,69.317,,0.992916923,0.858963646,
73,bangor_p662_uk,-5.6695,54.665,,0.835965188,1.441752109,1.075640712
74,bilbao_bilbao_spain,-3.05,43.357,,-0.666950365,,
75,bonanza_bonanza_spain,-6.34,36.8,,-0.699177702,-0.438905309,-0.790443499
76,cagliari_cagliari_italy,9.1143,39.21,,-0.452674949,,
77,carnarvon_008_australia,113.66,-24.884,,0.728727247,,
78,casey_130a_australia,110.53,-66.283,,0.573909307,,
79,"clearwater_bch,fl_773a_usa",-82.832,27.977,,0.940125154,,
80,"corpus_cristi,tx_770a_usa",-97.217,27.58,,0.451373866,,
81,dalian_a_630a_china,121.66,38.925,,-0.440069048,,
82,"davis,australia_001",78.5,-68,,0.708517649,,
83,fortmyers_usa,-81.871,26.648,,0.622960289,0.415824763,
84,fuerteventura_fuerteventura_spain,-13.85,28.5,,0.222305061,0.340286132,0.272672988
85,grandisle_usa,-89.957,29.263,,0.591032375,,
86,honningsvaag_002_norway,25.973,70.98,,0.879361947,,0.840671213
87,l._cornwallis_i._705a_canada,-96.95,75.383,,0.803649163,,0.517286398
88,las_palmas_laspalmas_spain,-15.412,28.141,,0.372220432,,
89,lusi_a_633a_china,121.62,32.133,,1.39166896,,
90,lyttelton_667a_new_zealand,172.72,-43.6,,0.843780655,,0.69766453
91,malin_head_834a_ireland,-7.3333,55.367,,0.957610597,,
92,mawson_177a_australia,62.883,-67.6,,0.769822721,,
93,napoli_napoli_italy,14.269,40.841,,-0.427618061,,
94,"neah_bay,wa_558a_usa",-124.62,48.368,,0.58378382,,
95,"nome,ak_595a_usa",-165.43,64.5,,2.514762855,,
96,palma_de_mallorca_palmademallorca_spain,2.6375,39.56,,-0.464177613,,
97,panama_city_beach_761a_usa,-85.88,30.213,,0.624331474,,
98,"pensacola,fl_762a_usa",-87.213,30.403,,0.940884221,,-0.518901927
99,port_tudy_,-3.4459,47.644,,-0.549308766,,
100,"sabine_pass_n,tx_766a_usa",-93.87,29.73,,1.052750635,,
101,seattle_usa,-122.34,47.603,,-0.548394623,,
102,seldovia_usa,-151.72,59.44,,0.845216334,,0.900333979
103,"sitka,ak_559a_usa",-135.34,57.052,,0.828441445,,
104,skagway_usa,-135.33,59.45,,0.553283939,,
105,st.petersburg_usa,-82.627,27.761,,1.213479939,,
106,"st._petersburg,_fl_759a_usa",-82.627,27.76,,1.318829566,,
107,stmarys_p231_uk,-6.3164,49.918,,-0.401730868,,
108,timaru_665a_new_zealand,171.25,-44.383,,0.440131431,,0.992154065
109,unalaska_usa,-166.54,53.88,,0.524306639,,0.306393541
110,"valdez,ak_562a_usa",-146.36,61.125,,0.460310457,,
111,villagarcia_villagarcia_spain,-8.77,42.601,,-0.96200723,,
112,williamstown_028_australia,144.9,-37.857,,-0.54563894,,
113,abashiri_japan,144.28,44.017,,,0.289940385,
114,bakar_bakar_I_croatia,14.533,45.3,,,-0.320518784,-0.573074809
115,"boston,ma_741a_usa",-71.052,42.355,,,0.589824374,0.835053951
116,centuri_france,9.3498,42.966,,,0.210784636,
117,fos_sur_mer_france,4.8929,43.405,,,0.064191568,
118,heimsjoe_001_norway,9.1014,63.425,,,0.725066231,1.06770827
119,holyhead_p054_uk,-4.6312,53.308,,,0.569191209,
120,kushiro_japan,144.38,42.967,,,0.527255572,
121,"newport,ri_253a_usa",-71.327,41.505,,,0.337426882,
122,newport_usa,-71.327,41.505,,,0.369079172,
123,portland_maine__usa,-70.247,43.657,,,0.372360785,
124,st._john_s_b_276b_canada,-52.7,47.567,,,0.526972313,
125,"vardo,norway_001",31.1,70.333,,,0.709302026,1.153018512
126,zhapo_a_635a_china,111.83,21.583,,,0.540912519,
127,apalachicola_usa,-84.982,29.727,,,,1.039764797
128,bluff_072a_new_zealand,168.35,-46.6,,,,1.623592624
129,burnie_344a_australia,145.91,-41.5,,,,0.677903562
130,chatham_079a_new_zealand,-176.56,-43.947,,,,0.95819074
131,cherbourg_,-1.6355,49.651,,,,0.580352878
132,coruna_coru_spain,-8.4,43.367,,,,-0.695262056
133,"dutch_harbor_b,ak_041b_usa",-166.54,53.88,,,,0.451209485
134,fukaura_japan,139.93,40.65,,,,0.365974334
135,geelong_013_australia,144.36,-38.147,,,,0.499601213
136,gisborne_b_078b_new_zealand,178.03,-38.683,,,,0.545763123
137,ibiza_ibiza_spain,1.4497,38.911,,,,-0.314121889
138,la_coruna_830a_spain,-8.4,43.367,,,,-0.613364298
139,les_sables_d_olonne_,-1.7935,46.497,,,,-0.791982193
140,marsden_point_398a_new_zealand,174.5,-35.833,,,,0.778247383
141,miyako_japan,141.98,39.65,,,,0.297275524
142,napier_668a_new_zealand,176.92,-39.483,,,,0.48067917
143,nelson_077a_new_zealand,173.27,-41.267,,,,0.310295196
144,ofunato_japan,141.72,39.067,,,,0.204782429
145,ponta_delgada_211a_portugal,-25.672,37.735,,,,-0.306670796
146,port_bloc_,-1.0616,45.569,,,,-0.625535963
147,saint_jean_de_luz_so_,-1.6816,43.395,,,,-0.386700404
148,"seward_c,ak_560c_usa",-149.43,60.12,,,,-1.059582952
149,vigo_ieo_spain,-8.7333,42.233,,,,-0.662421013
150,wakkanai_japan,141.68,45.4,,,,0.589746973
