,tg,lon,lat,e95_1900,e99_1900,e95_1950,e99_1950,t95_1875,t99_1875,t95_1900,t99_1900,t95_1950,t99_1950
0,aberdeen_p038_uk,-2.0745,57.143,0.589926185,0.851950775,0.556713118,,0.540679983,1.01919686,0.534142656,1.041550167,0.871231058,1.246101033
1,annapolis_navalacademy__usa,-76.482,38.983,0.289621502,0.581648912,,,0.214726666,0.321715679,0.302282728,0.423432293,,
2,barseback_001_sweden,12.903,55.756,0.779370102,1.153864467,0.592899725,1.158130631,,,0.233693577,0.35143201,0.429561698,
3,cadiz_cadi_spain,-6.2833,36.533,0.125491002,,,,,,,,,
4,cape_ferguson_343a_australia,147.06,-19.277,0.323253542,0.390148819,0.324162509,,,,,,,
5,cuxhaven_germany,8.7167,53.867,1.903587965,4.416129441,,2.90569237,,,1.154151121,2.181241974,2.260768298,
6,davis_173a_australia,77.967,-68.45,0.200040697,0.277508442,0.451308372,,,,,,,
7,delfzijl_del_nl,6.9331,53.326,1.768498039,3.246728437,1.780031254,2.907258717,0.906894562,1.30964342,0.741626157,1.220216454,,
8,donges_,-2.0883,47.306,0.314261499,0.624652739,,,,,,,,
9,esbjerg_130121_denmark,8.4333,55.467,1.170020402,2.03667432,,,0.67078309,1.515516962,0.663549153,1.742652915,,
10,funchal_b_218b_portugal,-16.907,32.64,0.196405322,0.393714902,,,,,,0.269397211,,
11,gladstone_p234_uk,-3.018,53.45,0.758895587,1.143559131,0.864810184,1.208078699,,,0.553182682,1.523152995,,1.860525804
12,goteborgtorshamnen_005_sweden,11.8,57.683,0.887225204,1.697951194,,1.595225147,0.17884552,0.405583615,,0.458633548,,0.71720534
13,heimsjoe_001_norway,9.1014,63.425,0.300092294,,,,,,0.407946984,0.731335248,0.593427295,1.06770827
14,honningsvaag_002_norway,25.973,70.98,0.379745267,0.627969778,0.437208224,0.879361947,,,,,0.516906367,0.840671213
15,hornbaek_838a_denmark,12.467,56.1,0.810388784,1.242297553,0.954587243,1.181308293,,,0.297486076,0.86191292,,
16,"horta,azores_212a_portugal",-28.622,38.533,0.17220296,0.312509975,,,,,0.124504729,,,
17,kinlochbervi_p918_uk,-5.0504,58.457,0.449655153,0.824084187,,0.8822805,0.594851779,0.859693796,0.58271126,0.747099185,0.722904497,1.366349331
18,kungsvik_009_sweden,11.127,58.997,0.855909033,1.411358358,0.786984245,1.238176365,,,0.289824829,0.4573665,0.659038361,
19,lerwick_p041_uk,-1.1333,60.15,0.394082738,0.44357777,0.59532917,,0.252001712,0.437152334,0.222379478,0.386066897,0.561348447,0.669018747
20,maaloey_003_norway,5.1133,61.934,0.480420268,0.840490001,,,,,0.698890487,1.081917203,0.737996022,0.662065039
21,marseille_france,5.35,43.3,0.158993791,0.246922898,,,,,,,,
22,morayfirth_p207_uk,-4.0022,57.599,0.597966094,0.808023179,,,0.48065366,0.862141589,0.38942663,0.922259631,0.733884928,0.982594828
23,nice_france,7.2853,43.696,0.134561741,0.191664614,,,,,,,,
24,northshields_p032_uk,-1.4398,55.007,0.670555405,1.00502898,0.634996557,1.275326013,0.3896782,0.664566684,0.378510542,0.672671703,0.47120246,
25,ortona_ortona_italy,14.415,42.356,0.176638521,0.515400927,,,,,,,-0.215928811,-0.295687155
26,oslo_004_norway,10.734,59.909,0.806769352,1.444868655,0.897920131,1.734005167,,,0.276663576,0.581428278,,0.881174563
27,"portland,s.aus._129a_australia",141.6,-38.333,0.236773709,0.409359568,,0.576715708,,,,,0.351387581,1.230582631
28,portlonsdale_017_australia,138.5,-35.099,0.269535735,0.424155179,,,,,,,,
29,portpirie_024_australia,138.01,-33.177,0.591074948,1.045076517,,,,,,,,1.11014464
30,port_camargue_france,4.1264,43.52,0.124456656,0.091977426,0.30581078,,0.111613381,0.126851046,0.106829214,0.126485929,,
31,port_stanvac_100a_australia,138.47,-35.108,0.45158525,0.699894169,,,,,,,,
32,port_vendres_france,3.1075,42.52,0.12889306,0.189939341,,,,,,,,
33,ravenna_ravenna_italy,12.283,44.492,0.339678495,0.5825973,,,,,,,,
34,ringhals_016_sweden,12.113,57.25,0.748312168,1.328813786,0.862242168,1.508715632,,,0.167317757,0.334318158,,0.860238166
35,roervik_005_norway,11.23,64.859,0.206659561,0.378973159,,,,,,,0.592527715,
36,saint_malo_,-2.0281,48.641,0.281477976,0.707501414,0.48315458,,0.226979236,0.405657897,,,,
37,smogen_020_sweden,11.218,58.354,0.580977932,1.196912206,,1.536717552,,,0.312865754,0.736242721,0.494049443,1.231004883
38,solomonsisland_biol.lab.__usa,-76.452,38.317,0.267462267,0.401437966,,,0.121266464,,0.18895212,0.267577591,,
39,stenungsund_022_sweden,11.832,58.093,0.92628555,1.572742473,0.774471599,1.401046058,,,0.2720324,0.61066709,0.590448217,1.236845879
40,tenerife_tenerife_spain,-16.24,28.478,0.143902238,0.164370103,0.213833075,0.363435563,,,,0.097773248,,
41,thevenard_026_australia,133.65,-32.146,0.303281368,0.575472854,,,,,,,0.484546459,0.918228461
42,tobermory_p223_uk,-6.0642,56.623,0.643402664,1.172383148,0.570790289,,,,0.340200863,0.50775342,,
43,tregde_006_norway,7.5666,58,0.345277059,0.524438392,,,0.185448327,0.363625401,0.162173593,0.355535832,,0.654854935
44,trieste_270061_italy,13.75,45.65,0.147262875,0.349195674,,,,,,,,
45,ullapool_p043_uk,-5.1579,57.895,0.830046418,0.910670543,1.348343263,1.693616023,,,0.583152851,1.017402629,1.034032656,1.88196591
46,varberg1_024_sweden,12.217,57.1,0.697319787,1.366138625,0.872478205,1.762018816,,,0.136679032,0.286214597,0.437396285,0.637282517
47,"vardo,norway_001",31.1,70.333,0.298664617,0.407168323,,,,,,,0.567119538,1.153018512
48,venezia_punta_salute_italy,12.426,45.419,0.178309261,0.405318245,,,,,-0.181021974,,-0.349086334,
49,victorharbor_027_australia,138.62,-35.553,0.282331933,,,,,,,,,
50,viken_025_sweden,12.579,56.142,0.891200009,1.431159074,0.935867707,1.312549197,,,,0.71541296,,1.589529865
