,tg,lon_x,lat_x,e99_1930,e99_1930_sigf,e99_1950,e99_1950_sigf,t99_1930,t99_1930_sigf,t99_1950,t99_1950_sigf
67,viken_025_sweden,12.579,56.142,1.573009054,TRUE,1.312549197,TRUE,1.103315984,TRUE,1.589529865,TRUE
68,weymouth_p991_uk,-2.4479,50.608,0.749896058,TRUE,,,,,,
69,whitby_p174_uk,-0.61417,54.49,1.360943112,TRUE,,,1.511985609,TRUE,1.889128197,TRUE
70,wick_p035_uk,-3.0863,58.441,0.8316092,TRUE,0.856303568,TRUE,1.08556122,TRUE,1.404643233,TRUE
71,workington_p217_uk,-3.5676,54.651,1.528359385,TRUE,1.210999558,TRUE,,,,
72,andenes_001,16.15,69.317,,,0.992916923,TRUE,0.858963646,TRUE,,
73,bangor_p662_uk,-5.6695,54.665,,,0.835965188,TRUE,1.441752109,TRUE,1.075640712,TRUE
74,bilbao_bilbao_spain,-3.05,43.357,,,-0.666950365,TRUE,,,,
75,bonanza_bonanza_spain,-6.34,36.8,,,-0.699177702,TRUE,-0.438905309,TRUE,-0.790443499,TRUE
76,cagliari_cagliari_italy,9.1143,39.21,,,-0.452674949,TRUE,,,,
77,carnarvon_008_australia,113.66,-24.884,,,0.728727247,TRUE,,,,
78,casey_130a_australia,110.53,-66.283,,,0.573909307,TRUE,,,,
79,"clearwater_bch,fl_773a_usa",-82.832,27.977,,,0.940125154,TRUE,,,,
80,"corpus_cristi,tx_770a_usa",-97.217,27.58,,,0.451373866,TRUE,,,,
81,dalian_a_630a_china,121.66,38.925,,,-0.440069048,TRUE,,,,
82,"davis,australia_001",78.5,-68,,,0.708517649,TRUE,,,,
83,fortmyers_usa,-81.871,26.648,,,0.622960289,TRUE,0.415824763,TRUE,,
84,fuerteventura_fuerteventura_spain,-13.85,28.5,,,0.222305061,TRUE,0.340286132,TRUE,0.272672988,TRUE
85,grandisle_usa,-89.957,29.263,,,0.591032375,TRUE,,,,
86,honningsvaag_002_norway,25.973,70.98,,,0.879361947,TRUE,,,0.840671213,TRUE
