,tg,p_5,p_10,p_15,p_20,p_25,p_30,p_40,p_50,visual_inspection,lon,lat,recordLength,recordSign,obsRecordLength,numYearsGained,yrGainedSign
0,"aasiaat,greenland_001.csv",2008,1972,1964,1961,1941,1900,1900,1900,1940,-52.883,68.71,70.0,50-75,1,69.0,60-90
1,abashiri_japan.csv,2004,1949,1944,1944,1900,1900,1900,1900,1900,144.28,44.017,110.0,100-125,51,59.0,30-60
2,aberdeen_p038_uk.csv,2009,1988,1900,1900,1900,1900,1900,1900,1900,-2.0745,57.143,110.0,100-125,45,65.0,60-90
3,"adak,alaska_040a_usa.csv",2007,2007,1999,1999,1943,1943,1943,1900,1943,-176.63,51.863,67.0,50-75,55,12.0,0-30
4,ajaccio_aspretto_france.csv,2008,1900,1900,1900,1900,1900,1900,1900,1900,8.7628,41.923,110.0,100-125,10,100.0,90-120
5,alameda_navalairstation__usa.csv,2009,1994,1947,1939,1939,1939,1900,1900,1939,-122.3,37.772,71.0,50-75,35,36.0,30-60
6,albany_001_australia.csv,2009,1994,1994,1994,1994,1994,1900,1900,1994,117.88,-35.024,16.0,0-50,38,-22.0,(-30)-(-15)
7,alcudia_alcudia_spain.csv,1993,1957,1900,1900,1900,1900,1900,1900,1900,3.1392,39.835,110.0,100-125,5,105.0,90-120
8,ammassalik_297a_denmark.csv,2009,2009,1975,1971,1971,1971,1932,1932,1971,-37.0,65.6,39.0,0-50,5,34.0,30-60
9,ancona_ancona_italy.csv,1993,1921,1900,1900,1900,1900,1900,1900,1900,13.506,43.625,110.0,100-125,17,93.0,90-120
10,andenes_001.csv,2008,1988,1900,1900,1900,1900,1900,1900,1900,16.15,69.317,110.0,100-125,12,98.0,90-120
11,angra_heroismo_b_215b_portugal.csv,1978,1966,1944,1944,1900,1900,1900,1900,1900,-27.24,38.65,110.0,100-125,11,99.0,90-120
12,annapolis_navalacademy__usa.csv,1956,1956,1956,1900,1900,1900,1900,1900,1900,-76.482,38.983,110.0,100-125,61,49.0,30-60
13,apalachicola_usa.csv,2003,2003,1900,1900,1900,1900,1900,1900,1938,-84.982,29.727,72.0,50-75,19,53.0,30-60
14,arcachon_eyrac_.csv,2002,1978,1921,1921,1916,1900,1900,1900,1921,-1.1636,44.665,89.0,75-100,12,77.0,60-90
15,"arena_cove,_ca_573a_usa.csv",2009,1983,1978,1934,1934,1934,1900,1900,1934,-123.71,38.913,76.0,75-100,18,58.0,30-60
16,"astoria,or_572a_usa.csv",2005,1994,1994,1972,1947,1947,1900,1900,1947,-123.77,46.208,63.0,50-75,86,-23.0,(-30)-(-15)
17,atlantic_city_264a_usa.csv,1971,1942,1931,1900,1900,1900,1900,1900,1940,-74.418,39.355,70.0,50-75,94,-24.0,(-30)-(-15)
18,auckland_070a_new_zealand.csv,2007,1995,1970,1948,1920,1920,1900,1900,1920,174.77,-36.85,90.0,75-100,5,85.0,60-90
19,ayukawa_japan.csv,2004,1988,1953,1945,1944,1944,1944,1944,1944,141.5,38.3,66.0,50-75,45,21.0,0-30
20,bakar_bakar_I_croatia.csv,1993,1993,1900,1900,1900,1900,1900,1900,1900,14.533,45.3,110.0,100-125,40,70.0,60-90
21,baltimore_usa.csv,1944,1940,1940,1900,1900,1900,1900,1900,1940,-76.578,39.267,70.0,50-75,65,5.0,0-30
22,bangor_p662_uk.csv,2009,2009,2009,1921,1921,1900,1900,1900,1947,-5.6695,54.665,63.0,50-75,15,48.0,30-60
23,barcelona_barcelona_spain.csv,1994,1957,1900,1900,1900,1900,1900,1900,1900,2.163,41.342,110.0,100-125,22,88.0,60-90
24,"barharbor,frenchmanbay,me_usa.csv",2004,2004,2004,1943,1943,1931,1900,1900,1931,-68.205,44.392,79.0,75-100,49,30.0,0-30
25,barmouth_p923_uk.csv,2009,2009,2009,2009,1921,1900,1900,1900,1921,-4.0452,52.719,89.0,75-100,16,73.0,60-90
26,barseback_001_sweden.csv,2008,2008,1900,1900,1900,1900,1900,1900,1900,12.903,55.756,110.0,100-125,22,88.0,60-90
27,base_prat_b_730b_chile.csv,2009,2006,2000,2000,2000,1946,1946,1946,discard,-59.633,-62.483,,,19,,nan
28,bayonne_boucau_.csv,2007,1957,1957,1921,1900,1900,1900,1900,1900,-1.5148,43.527,110.0,100-125,36,74.0,60-90
29,bilbao_bilbao_spain.csv,1960,1957,1957,1900,1900,1900,1900,1900,1900,-3.05,43.357,110.0,100-125,22,88.0,60-90
30,bluff_072a_new_zealand.csv,2008,1992,1979,1962,1900,1900,1900,1900,1980,168.35,-46.6,30.0,0-50,17,13.0,0-30
31,bonanza_bonanza_spain.csv,2008,2008,1921,1900,1900,1900,1900,1900,1900,-6.34,36.8,110.0,100-125,22,88.0,60-90
32,"boston,ma_741a_usa.csv",2009,2009,2009,1900,1900,1900,1900,1900,1940,-71.052,42.355,70.0,50-75,90,-20.0,(-30)-(-15)
33,boulogne_sur_mer_.csv,2008,1973,1921,1921,1921,1900,1900,1900,1921,1.5777,50.727,89.0,75-100,23,66.0,60-90
34,bournemouth_p988_uk.csv,2009,1973,1973,1921,1921,1921,1900,1900,1921,-1.8749,50.714,89.0,75-100,17,72.0,60-90
35,brest_.csv,1982,1973,1973,1973,1900,1900,1900,1900,1921,-4.5,48.383,89.0,75-100,150,-61.0,(-60)-(-30)
36,bridgeport_usa.csv,1971,1940,1938,1938,1900,1900,1900,1900,1938,-73.182,41.173,72.0,50-75,45,27.0,0-30
