,tg,lon,lat,num_year,num_95pcs,corrn,rmse
0,"aasiaat,greenland-001-glossdm-bodc.csv",-52.883,68.71,0.9972602739726028,55,0.6746885295586347,0.0755992839451536
0,abashiri-japan-jma.csv,144.28,44.017,53.032876712328765,89,0.762237372337331,0.05584863859760616
0,aberdeen-p038-uk-bodc.csv,-2.0745,57.143,69.04383561643836,65,0.8029867596232181,0.09232747316806714
0,abidjan_vridi-230a-ivory_coast-uhslc.csv,-4,5.2417,7.002739726027397,30,0.2891046532760232,0.0481579541135199
0,aburatsu-japan-jma.csv,131.42,31.567,53.032876712328765,96,0.6091987164181251,0.0648867013049356
0,acajutla_c-082c-el_salvador-uhslc.csv,-89.833,13.583,49.03013698630137,82,0.1962733118962196,0.06588679085175997
0,"acapulco_c,gro.-316c-mexico-uhslc.csv",-99.912,16.84,58.035616438356165,88,0.31850742269050697,0.05995150013496002
0,"adak,alaska-040a-usa-uhslc.csv",-176.63,51.863,62.83561643835616,51,0.7753642708931419,0.07968679260101372
0,"aden-172a-yemen,_p.d.r-uhslc.csv",44.975,12.788,5.002739726027397,49,0.34450901751514756,0.034395877226793284
0,"aguadilla,pr-263a-usa-uhslc.csv",-67.163,18.457,4.832876712328767,25,0.40055040408841064,0.02899562103828383
0,ajaccio_aspretto-france-med-refmar.csv,8.7628,41.923,11.882191780821918,87,0.7381136490310023,0.04785053786500927
0,akabane-japan-jma.csv,137.18,34.6,6.876712328767123,96,0.6088569166041,0.08716269875199255
0,akyab__sittwe_-907a-myanmar-uhslc.csv,92.903,20.14,2.0,33,0.3557942982845738,0.13739119850419665
0,alameda_navalairstation_-usa-noaa.csv,-122.3,37.772,35.02191780821918,86,0.7350518538264345,0.049404316339461594
0,albany-001-australia-johnhunter.csv,117.88,-35.024,38.02465753424657,42,0.7926420404929232,0.06754647174474433
0,alcudia-alcudia-spain-pde.csv,3.1392,39.835,5.0,80,0.7489752281938529,0.05169887861306903
0,"alertbay,bc-08280-canada-meds.csv",-126.93,50.587,30.016438356164382,98,0.6420040818190659,0.09493429505832668
0,alexandria-330071-egypt-noc.csv,29.917,31.217,19.01095890410959,66,0.5267329028373474,0.06474381303790497
0,algeciras-alge-spain-ieo.csv,-5.4333,36.117,69.04657534246576,102,0.5994373198923595,0.07111577766413077
0,almeria-almeria-spain-pde.csv,-2.478,36.83,9.002739726027396,102,0.6731211153849169,0.05016398536780383
0,alotau-069a-papua_new_guinea-uhslc.csv,150.45,-10.168,7.002739726027397,25,0.3525946018953918,0.03361368775795829
0,amami-japan-jma.csv,129.53,28.317,17.008219178082193,68,0.5113400457829004,0.05709068371053348
0,ambon_b-133b-indonesia-uhslc.csv,128.18,-3.6833,14.695890410958905,16,0.5932837978692398,0.052246985358096534
0,"ammassalik,greenland-001-glossdm-bodc.csv",-37,65.5,6.972602739726027,64,0.688188791483786,0.13638940096871452
0,ammassalik-297a-denmark-uhslc.csv,-37,65.6,6.972602739726027,60,0.7172962724598166,0.12253477375832185
0,anchorage-usa-noaa.csv,-149.89,61.238,30.016438356164382,89,0.5587384271950737,0.1606677632812859
0,ancona-ancona-italy-idromare.csv,13.505999999999998,43.625,17.904109589041095,129,0.7454699235879261,0.07887492265647195
0,andenes-001-glossdm-bodc.csv,16.15,69.317,12.005479452054795,63,0.7674526897136229,0.08839800715580697
0,anewa_bay-048a-papua_new_guinea-uhslc.csv,155.88,-6.1833,8.002739726027396,20,0.21526320714540015,0.060590567915354436
0,angra_heroismo_b-215b-portugal-uhslc.csv,-27.24,38.65,26.013698630136986,36,0.7917416779101468,0.04144612821021015
0,annapolis_navalacademy_-usa-noaa.csv,-76.482,38.983,65.04109589041096,102,0.7512640863126638,0.10155400562271807
0,antalya-anta-turkey-eseas.csv,30.617,36.833,11.005479452054795,73,0.5648808037097199,0.06907513766076015
0,antofagasta-080a-chile-uhslc.csv,-70.4,-23.65,67.04383561643836,75,0.19819834152143057,0.04621396750827695
0,apalachicola-usa-noaa.csv,-84.98200000000001,29.727,19.01095890410959,67,0.7884086941245848,0.08204760283824951
0,apia_b-401b-western_samoa-uhslc.csv,-171.75,-13.817,59.038356164383565,27,0.21913985660020702,0.04616378144028353
0,arcachon_eyrac-france-refmar.csv,-1.1636,44.665,24.991780821917807,89,0.7536619352652527,0.09055370667343118
0,"arecibo,_pr-735a-usa-uhslc.csv",-66.702,18.48,4.0,21,0.4065502229408038,0.03240350162477583
0,"arena_cove,_ca-573a-usa-uhslc.csv",-123.71,38.913,17.01095890410959,78,0.7481505994410951,0.06537755055845965
0,"argentia,nf-00835-canada-meds.csv",-53.983,47.3,43.915068493150685,74,0.6354866737449318,0.09850554546887096
0,arica-083a-chile-uhslc.csv,-70.333,-18.467,15.901369863013699,96,0.2458551851018377,0.04708672837616279
0,arrecife-arre-spain-ieo.csv,-13.53,28.972,62.038356164383565,32,0.3825501560947531,0.07707865526771063
0,ascension_uk_noc.csv,-14.417,-7.9167,19.01095890410959,10,0.21162100707143258,0.024154437473035927
0,"astoria,or-572a-usa-uhslc.csv",-123.77,46.208,87.99178082191781,101,0.7627688263851818,0.09259418022815138
0,atlantic_city-264a-usa-uhslc.csv,-74.418,39.355,101.06849315068493,88,0.772222188962789,0.10317411267967466
0,auckland-070a-new_zealand-uhslc.csv,174.77,-36.85,4.0,47,0.7823064444827396,0.05267405987501692
0,avonmouth-p060-uk-bodc.csv,-2.715,51.511,39.02191780821918,64,0.558425165447034,0.2085897904447807
0,awayuki-japan-jma.csv,134.6,33.767,8.002739726027396,84,0.533943390784633,0.07340482843821715
