the_geom,cartodb_id,location_zipcode,precinct,neighborhood_services_district,city_council_district,fire_district,source,location_street_name,land_usage,ward,neighborhood,police_district,pwd_district,location,department,queue,type,reason,subject,case_title,closure_reason,case_status,closed_dt,open_dt,longitude,latitude,case_enquiry_id
0101000020E610000089230F4416CA51C05DE2C803912D4540,1,2135,2211,15,9,11,Constituent Call,83-85 Cresthill Rd,R2,Ward 22,Allston / Brighton,D14,04,83-85 Cresthill Rd  Brighton  MA  02135,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,05/03/2013 11:12:12 AM,-71.157609,42.355988,101000833162
0101000020E6100000D118ADA3AAC351C0FAE8D495CF2E4540,2,2113,304,3,1,3,Constituent Call,169 Endicott St,A,Ward 3,Downtown / Financial District,A1,1B,169 Endicott St  Boston  MA  02113,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,05/02/2013 10:04:13 AM,-71.05729,42.36571,101000832197
0101000020E6100000A3923A014DC051C060C8EA56CF314540,3,2128,113,1,1,1,Constituent Call,108 Gladstone St,R3,Ward 1,East Boston,A7,09,108 Gladstone St  East Boston  MA  02128,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,Case Closed VIOISS: Violation Filed ,Open,,04/26/2013 01:14:08 PM,-71.0047,42.38914,101000828597
0101000020E6100000101E6D1CB1CA51C03012DA722E254540,4,2132,2017,12,6,12,Constituent Call,64 Newfield St,R1,Ward 20,West Roxbury,E5,06,64 Newfield St  West Roxbury  MA  02132,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,04/24/2013 12:02:06 PM,-71.16706,42.29048,101000826935
0101000020E61000005D8AABCABEC351C05B5F24B4E5284540,5,2125,709,5,2,7,Constituent Call,33 Edison Grn,R3,Ward 7,Dorchester,C11,03,33 Edison Grn  Dorchester  MA  02125,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,04/12/2013 08:08:29 AM,-71.05852,42.31951,101000821482
0101000020E61000008B321B6492C551C077103B53E82C4540,6,2115,509,14,8,4,Constituent Call,365 Marlborough St,CM,Ward 5,Back Bay,D4,1C,365 Marlborough St  Boston  MA  02115,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,04/08/2013 12:16:57 PM,-71.08706,42.35084,101000818710
0101000020E6100000F0332E1C08C951C08C84B69C4B2D4540,7,2134,2106,15,9,11,Constituent Call,62 N Beacon St,R1,Ward 21,Allston / Brighton,D14,04,62 N Beacon St  Allston  MA  02134,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,03/06/2013 11:49:37 AM,-71.14112,42.35387,101000797114
0101000020E6100000C80C54C6BFC551C0DB9DB5DB2E2C4540,8,2115,407,14,8,4,Constituent Call,51 Hemenway St,CD,Ward 4,Fenway / Kenmore / Audubon Circle / Longwood,D4,10A,51 Hemenway St  Boston  MA  02115,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,12/10/2012 10:28:19 AM,-71.08983,42.34518,101000719207
0101000020E6100000F14A92E7FAC351C0A3C2D842902D4540,9,2111,308,4,2,3,Constituent Call,134-131 Tremont St,RC,03,Boston,A1,1C,134-131 Tremont St  Boston  MA  02111,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,11/15/2012 01:56:24 PM,-71.062189,42.355965,101000706871
0101000020E6100000565BB1BFECC451C0BBD05CA791264540,10,2121,1402,8,4,7,Constituent Call,249 Washington St,R3,Ward 14,Dorchester,C11,03,249 Washington St  Dorchester  MA  02121,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,10/31/2012 10:23:04 AM,-71.07695,42.30132,101000500743
