the_geom,cartodb_id,location_zipcode,precinct,neighborhood_services_district,city_council_district,fire_district,source,location_street_name,land_usage,ward,neighborhood,police_district,pwd_district,location,department,queue,type,reason,subject,case_title,closure_reason,case_status,closed_dt,open_dt,longitude,latitude,case_enquiry_id
0101000020E61000007C2766BD18C451C0E0A128D0272E4540,11,2114,306,3,1,3,Constituent Call,21 Ridgeway Ln,R1,Ward 3,Beacon Hill,A1,1B,21 Ridgeway Ln  Boston  MA  02114,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,10/22/2012 09:12:25 AM,-71.06401,42.36059,101000495255
0101000020E6100000A774B0FECFC951C0B3295778972B4540,12,2135,2115,15,9,11,Constituent Call,136 Chiswick Rd,R4,Ward 21,Allston / Brighton,D14,04,136 Chiswick Rd  Brighton  MA  02135,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,10/22/2012 08:54:25 AM,-71.15332,42.34056,101000495233
0101000020E61000000C93A98251C451C03EC571E0D5304540,13,2129,207,2,1,3,Constituent Call,341 Bunker Hill St,R2,Ward 2,Charlestown,A15,1A,341 Bunker Hill St  Charlestown  MA  02129,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,09/28/2012 02:01:04 PM,-71.067475,42.381527,101000485811
0101000020E61000006DCA15DEE5C451C0D573D2FBC62B4540,14,2118,403,6,2,4,Constituent Call,88 Pembroke St,CD,Ward 4,South End,D4,1C,88 Pembroke St  Roxbury  MA  02118,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,09/20/2012 09:11:27 AM,-71.07653,42.34201,101000481938
0101000020E6100000D00B772E8CC651C031C687D9CB2A4540,15,2120,1002,14,8,9,Constituent Call,22 Worthington St,R2,Ward 10,Mission Hill,B2,10A,22 Worthington St  Mission Hill  MA  02120,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,09/17/2012 09:04:06 AM,-71.102306,42.334346,101000479893
0101000020E6100000DD9A745B22C551C0A10F96B1A1274540,16,2121,1401,13,4,7,Constituent Call,95 Normandy St,RL,Ward 14,Roxbury,B2,03,95 Normandy St  Dorchester  MA  02121,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,09/13/2012 08:29:49 AM,-71.080222,42.309622,101000478329
0101000020E61000000F5EBBB4E1C151C03FA7203F1B2B4540,17,2127,607,5,2,6,Constituent Call,43-47 O St,CM,Ward 6,South Boston / South Boston Waterfront,C6,05,43-47 O St  South Boston  MA  02127,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,09/05/2012 02:46:08 AM,-71.029401,42.336769,101000474248
0101000020E6100000E55C8AABCAC451C0EA211ADD41284540,18,2125,1304,13,7,7,Constituent Call,33 Cunningham St,R3,Ward 13,Roxbury,B2,03,33 Cunningham St  Dorchester  MA  02125,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,09/04/2012 11:49:51 AM,-71.07487,42.31451,101000473919
0101000020E6100000A796ADF545C451C03CBD5296212E4540,19,2114,504,14,8,3,Constituent Call,7 Phillips St,CM,Ward 5,Beacon Hill,A1,1B,7 Phillips St  Boston  MA  02114,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,09/01/2012 07:33:09 PM,-71.06677,42.3604,101000473141
0101000020E61000008FA50F5D50C751C06C21C84109274540,20,2130,1110,11,6,9,Constituent Call,8 Hall St,CM,Ward 11,Jamaica Plain,E13,02,8 Hall St  Jamaica Plain  MA  02130,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,09/01/2012 11:58:58 AM,-71.11428,42.30497,101000473007
0101000020E61000006FF59CF4BEC551C080828B15352C4540,21,2115,407,14,8,4,Constituent Call,45 Hemenway St,CM,Ward 4,Fenway / Kenmore / Audubon Circle / Longwood,D4,10A,45 Hemenway St  Boston  MA  02115,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/31/2012 02:13:59 PM,-71.08978,42.34537,101000472663
0101000020E61000006362F3716DC451C0033E3F8C102E4540,22,2114,504,14,8,3,Constituent Call,4 Goodwin Pl,CD,Ward 5,Beacon Hill,A1,1B,4 Goodwin Pl  Boston  MA  02114,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/31/2012 11:08:41 AM,-71.06918,42.35988,101000472499
0101000020E61000003480B74082C451C0E0F3C308E12D4540,23,2114,511,14,8,3,Constituent Call,81 Charles St,RC,Ward 5,Beacon Hill,A1,1B,81 Charles St  Boston  MA  02114,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/30/2012 05:52:52 PM,-71.07045,42.35843,101000472151
0101000020E61000002AE3DF675CC451C0D200DE02092E4540,24,2114,504,14,8,3,Constituent Call,47 Revere St,A,Ward 5,Beacon Hill,A1,1B,47 Revere St  Boston  MA  02114,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/30/2012 11:28:19 AM,-71.06814,42.35965,101000471889
0101000020E6100000D0D4EB1681C951C0287FF78E1A2D4540,25,2135,2203,15,9,11,Constituent Call,101 Etna St,R2,Ward 22,Allston / Brighton,D14,04,101 Etna St  Brighton  MA  02135,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/30/2012 10:22:44 AM,-71.148504,42.352373,101000471816
0101000020E6100000410DDFC2BAC351C08369183E222E4540,26,2108,306,3,1,3,Self Service,1 City Hall Plz,E,03,Downtown / Financial District,A1,1B,1 City Hall Plz  Boston  MA  02108,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/30/2012 08:55:07 AM,-71.058274,42.36042,101000471716
0101000020E610000060C77F8120C551C04AF1F109D92B4540,27,2118,404,6,7,4,Constituent Call,9 Greenwich Park,CM,Ward 4,South End,D4,1C,9 Greenwich Park  Roxbury  MA  02118,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/29/2012 01:17:14 PM,-71.080109,42.342561,101000471300
0101000020E6100000878C47A984C351C03DB9A64066254540,28,2122,1607,7,3,8,Constituent Call,20-22 Spaulding St,R2,Ward 16,Dorchester,C11,07,20-22 Spaulding St  Dorchester  MA  02122,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/29/2012 08:25:31 AM,-71.054972,42.292183,101000470939
0101000020E61000005567B5C01EC451C04EB51666A1274540,29,2125,1504,8,3,7,Constituent Call,4 Downer Ct,RL,Ward 15,Dorchester,C11,03,4 Downer Ct  Dorchester  MA  02125,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/28/2012 06:08:11 PM,-71.064377,42.309613,101000470705
0101000020E6100000DE8E705AF0C451C00A410E4A98254540,30,2124,1703,9,4,8,Constituent Call,81-83 Millet St,R2,Ward 17,Dorchester,B3,07,81-83 Millet St  Dorchester  MA  02124,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/28/2012 06:07:42 PM,-71.07717,42.29371,101000470689
0101000020E61000004276DEC666C351C0B2B96A9E232C4540,31,,601,5,2,6,Self Service,INTERSECTION A St & Binford St,,Ward 6,South Boston / South Boston Waterfront,C6,05,INTERSECTION of A St & Binford St  Boston  MA  ,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/27/2012 11:29:34 AM,-71.053148,42.344837,101000470280
0101000020E610000010AAD4EC81C851C0F7E461A1D62C4540,32,2134,2105,15,9,11,Constituent Call,30 Glenville Ave,CD,Ward 21,Allston / Brighton,D14,04,30 Glenville Ave  Allston  MA  02134,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/27/2012 10:58:55 AM,-71.13293,42.3503,101000470244
0101000020E610000005FA449E24C551C0B9DFA128D02B4540,33,2118,404,6,7,4,Constituent Call,8 Greenwich Park,CM,Ward 4,South End,D4,1C,8 Greenwich Park  Roxbury  MA  02118,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/27/2012 10:52:01 AM,-71.08036,42.34229,101000470238
0101000020E61000007172BF4351C451C03E7100FDBE2D4540,34,2108,503,14,8,3,Constituent Call,26 Chestnut St,A,Ward 5,Beacon Hill,A1,1B,26 Chestnut St  Boston  MA  02108,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/26/2012 06:22:11 PM,-71.06746,42.357391,101000469952
0101000020E610000040F67AF7C7C551C00EBE30992A2C4540,35,2215,407,14,8,4,Self Service,46 Fenway,CM,Ward 4,Fenway / Kenmore / Audubon Circle / Longwood,D4,10A,46 Fenway  Boston  MA  02215,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/25/2012 10:50:52 PM,-71.09033,42.34505,101000469783
0101000020E6100000F8A75489B2C551C0D8D30E7F4D2C4540,36,2115,406,14,8,4,Self Service,28 Haviland St,RC,Ward 4,Fenway / Kenmore / Audubon Circle / Longwood,D4,10A,28 Haviland St  Boston  MA  02115,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/24/2012 11:17:19 AM,-71.089022,42.346115,101000469360
0101000020E6100000A796ADF545C451C0F52D73BA2C2E4540,37,2114,504,14,8,3,Constituent Call,18 Garden St,CD,Ward 5,Beacon Hill,A1,1B,18 Garden St  Boston  MA  02114,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/24/2012 09:14:42 AM,-71.06677,42.36074,101000469213
0101000020E6100000CE16105A0FC951C0B9533A58FF2B4540,38,,503,14,8,3,Self Service,INTERSECTION W Cedar St & Pinckney St,,Ward 5,Beacon Hill,A1,1B,INTERSECTION of W Cedar St & Pinckney St  Boston  MA  ,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/23/2012 10:25:19 AM,-71.141562,42.34373,101000468692
0101000020E6100000E1E47E87A2C851C0A27F828B152D4540,39,2134,2106,15,9,11,Constituent Call,26 Allston St,A,Ward 21,Allston / Brighton,D14,04,26 Allston St  Allston  MA  02134,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/22/2012 11:07:33 AM,-71.13492,42.35222,101000468181
0101000020E61000009D11A5BDC1C351C05917B7D1002E4540,40,,,,,,Constituent Call,, , , , , , ,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/22/2012 11:07:18 AM,-71.0587,42.3594,101000468168
0101000020E610000052B81E85EBC351C0C6F99B5088284540,41,2125,1306,7,3,7,Constituent Call,41 Bakersfield St,R1,Ward 13,Dorchester,C11,03,41 Bakersfield St  Dorchester  MA  02125,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/22/2012 11:07:09 AM,-71.06125,42.31666,101000468162
0101000020E61000003F3A75E5B3C651C08EA50F5D50274540,42,2130,1107,11,6,9,Constituent Call,36 Rockvale Cir,R3,Ward 11,Jamaica Plain,E13,02,36 Rockvale Cir  Jamaica Plain  MA  02130,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/22/2012 11:07:00 AM,-71.10473,42.30714,101000468152
0101000020E6100000B298D87C5CC351C039D6C56D34284540,43,2125,1310,7,3,7,Constituent Call,75 Sydney St,E,Ward 13,Dorchester,C11,03,75 Sydney St  Dorchester  MA  02125,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/21/2012 03:38:36 PM,-71.05252,42.3141,101000467774
0101000020E610000043CA4FAA7DC451C0EE0912DBDD2D4540,44,2114,511,14,8,3,Constituent Call,40-42 Cedar Lane Way,R2,Ward 5,Beacon Hill,A1,1B,40-42 Cedar Lane Way  Boston  MA  02114,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/21/2012 11:34:15 AM,-71.07017,42.358333,101000467567
0101000020E61000009626A5A0DBC951C02E6EA301BC214540,45,2132,2003,10,6,12,Constituent Call,5110 Washington St,A,Ward 20,West Roxbury,E5,06,5110 Washington St  West Roxbury  MA  02132,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/20/2012 02:16:19 PM,-71.15403,42.26355,101000467084
0101000020E61000005C8AABCABEC551C031B1F9B8362C4540,46,2115,407,14,8,4,Constituent Call,43 Hemenway St,R4,Ward 4,Fenway / Kenmore / Audubon Circle / Longwood,D4,10A,43 Hemenway St  Boston  MA  02115,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/20/2012 11:58:28 AM,-71.08977,42.34542,101000466977
0101000020E610000096ECD808C4C551C0787AA52C432C4540,47,2215,407,14,8,4,Constituent Call,26 Fenway ,E,04,Boston,D4,10A,26 Fenway   Boston  MA  02215,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/16/2012 12:26:29 PM,-71.09009,42.3458,101000465542
0101000020E6100000359886E123C451C0E388B5F814284540,48,2125,1305,13,7,7,Constituent Call,76 Hancock St,R3,Ward 13,Dorchester,C11,03,76 Hancock St  Dorchester  MA  02125,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/16/2012 11:56:26 AM,-71.06469,42.31314,101000465516
0101000020E6100000081B9E5E29C951C0598121AB5B2D4540,49,2134,2106,15,9,11,Constituent Call,0 N Beacon St,C,21,Allston,D14,04,0 N Beacon St  Allston  MA  02134,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/13/2012 03:12:27 PM,-71.14315,42.35436,101000463964
0101000020E6100000B62DCA6C90C551C0EA39E97DE32B4540,50,2115,407,14,8,4,Self Service,5 Symphony Rd,R4,Ward 4,Fenway / Kenmore / Audubon Circle / Longwood,D4,10A,5 Symphony Rd  Boston  MA  02115,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/09/2012 04:17:03 PM,-71.08694,42.34288,101000462578
0101000020E6100000EBC5504EB4C551C0FFAD64C7462C4540,51,2115,406,14,8,4,Constituent Call,26 Hemenway St,A,Ward 4,Fenway / Kenmore / Audubon Circle / Longwood,D4,10A,26 Hemenway St  Boston  MA  02115,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/09/2012 09:31:04 AM,-71.08913,42.34591,101000462255
0101000020E61000009F93DE37BEC451C07E74EACA672D4540,52,2116,506,14,8,4,Constituent Call,137 Beacon St,E,05,Boston,D4,1C,137 Beacon St  Boston  MA  02116,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/07/2012 03:07:37 PM,-71.07411,42.35473,101000461525
0101000020E6100000B0E600C11CC551C046425BCEA5244540,53,2124,1707,9,4,8,Constituent Call,193 Norfolk St,R2,Ward 17,Greater Mattapan,B3,07,193 Norfolk St  Dorchester  MA  02124,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/06/2012 02:55:26 PM,-71.07988,42.28631,101000460940
0101000020E6100000A75CE15D2EC451C04772F90FE9274540,54,2125,1504,8,3,7,Constituent Call,25 Rill St,R3,Ward 15,Dorchester,C11,03,25 Rill St  Dorchester  MA  02125,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/01/2012 02:22:31 PM,-71.06533,42.3118,101000458828
0101000020E610000046EBA86A82C851C09A779CA2232D4540,55,2134,2105,15,9,11,Constituent Call,51 Park Vale Ave,R4,Ward 21,Allston / Brighton,D14,04,51 Park Vale Ave  Allston  MA  02134,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/01/2012 09:05:46 AM,-71.13296,42.35265,101000458518
0101000020E61000000FB9196EC0C551C00EBE30992A2C4540,56,2115,407,14,8,4,Constituent Call,55 Hemenway St,R3,Ward 4,Fenway / Kenmore / Audubon Circle / Longwood,D4,10A,55 Hemenway St  Boston  MA  02115,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,08/01/2012 08:58:58 AM,-71.08987,42.34505,101000458512
0101000020E61000000612143FC6C451C064CC5D4BC82B4540,57,2118,901,6,2,4,Constituent Call,638 Tremont St,EA,Ward 9,South End,D4,1C,638 Tremont St  Roxbury  MA  02118,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,07/17/2012 09:37:29 AM,-71.0746,42.34205,101000450769
0101000020E61000009B20EA3E00C551C06F8104C58F294540,58,2119,807,13,7,7,Constituent Call,82 Winthrop St,R3,Ward 8,Roxbury,B2,10B,82 Winthrop St  Roxbury  MA  02119,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,07/07/2012 04:42:25 PM,-71.07814,42.3247,101000446381
0101000020E61000008E8D40BCAEC951C016DEE522BE2B4540,59,2135,2113,15,9,11,Constituent Call,21 Wallingford Rd,R2,Ward 21,Allston / Brighton,D14,04,21 Wallingford Rd  Brighton  MA  02135,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,07/02/2012 12:06:59 PM,-71.15129,42.34174,101000444093
0101000020E6100000BEF6CC9200C451C015562AA8A82E4540,60,2114,306,3,1,3,Constituent Call,73-75 Causeway St,CL,Ward 3,Downtown / Financial District,A1,1B,73-75 Causeway St  Boston  MA  02114,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,07/02/2012 12:04:30 PM,-71.062535,42.364522,101000444090
0101000020E6100000E2E47E87A2C651C0BD3AC780EC294540,61,2120,1005,14,8,9,Constituent Call,83 Wensley St,R3,Ward 10,Mission Hill,B2,10A,83 Wensley St  Mission Hill  MA  02120,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,07/02/2012 10:14:07 AM,-71.10367,42.32753,101000443948
0101000020E61000009D11A5BDC1C351C05917B7D1002E4540,62,,,,,,Constituent Call,, , , , , , ,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/29/2012 11:42:38 AM,-71.0587,42.3594,101000443187
0101000020E6100000A4E194B9F9C851C04969368FC32C4540,63,2135,2109,15,9,11,Constituent Call,91 Gordon St,A,Ward 21,Allston / Brighton,D14,04,91 Gordon St  Brighton  MA  02135,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/26/2012 02:57:20 PM,-71.140242,42.349718,101000441697
0101000020E6100000CFDA6D179AC351C050AA7D3A1E2F4540,64,2113,302,3,1,3,Constituent Call,109-111 Charter St,R4,Ward 3,Downtown / Financial District,A1,1B,109-111 Charter St  Boston  MA  02113,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/19/2012 02:42:25 PM,-71.05628,42.36811,101000438754
0101000020E6100000B2632310AFC951C0D656EC2FBB2B4540,65,2135,2113,15,9,11,Constituent Call,19 Wallingford Rd,R1,Ward 21,Allston / Brighton,D14,04,19 Wallingford Rd  Brighton  MA  02135,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/19/2012 02:38:59 PM,-71.15131,42.34165,101000438751
0101000020E6100000E5AE25E483CA51C08D45D3D9C92C4540,66,2135,2207,15,9,11,Constituent Call,559-569 Washington St,C,Ward 22,Allston / Brighton,D14,04,559-569 Washington St  Brighton  MA  02135,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/19/2012 02:32:10 PM,-71.1643,42.34991,101000438744
0101000020E6100000828FC18A53C651C02E724F57772A4540,67,2120,1002,14,8,9,Constituent Call,1486-1490 Tremont St,I,Ward 10,Mission Hill,B2,10A,1486-1490 Tremont St  Mission Hill  MA  02120,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/15/2012 03:42:16 PM,-71.098849,42.331767,101000437438
0101000020E6100000B2632310AFC951C0D656EC2FBB2B4540,68,2135,2113,15,9,11,Constituent Call,19 Wallingford Rd,R1,Ward 21,Allston / Brighton,D14,04,19 Wallingford Rd  Brighton  MA  02135,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/12/2012 01:21:49 PM,-71.15131,42.34165,101000435628
0101000020E6100000A01A2FDD24C451C0CD70033E3F244540,69,2124,1608,7,3,8,Constituent Call,4 Beale St,RC,Ward 16,Dorchester,C11,07,4 Beale St  Dorchester  MA  02124,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,06/04/2012 11:19:09 AM,-71.06475,42.28318,101000431757
0101000020E6100000488B338639C551C020CF2EDFFA2C4540,70,2116,508,14,8,4,Constituent Call,215 Commonwealth Ave,CM,Ward 5,Back Bay,D4,1C,215 Commonwealth Ave  Boston  MA  02116,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,05/25/2012 10:11:09 AM,-71.081636,42.351406,101000427475
0101000020E6100000B3D2A41474C451C0EECA2E185C294540,71,2119,806,13,7,7,Constituent Call,61 Burrell St,C,Ward 8,Roxbury,B2,03,61 Burrell St  Roxbury  MA  02119,ISD,ISD_Environmental Services (INTERNAL),Rodent Activity,Environmental Services,Inspectional Services,Rodent Activity,,Open,,05/22/2012 12:06:25 PM,-71.069585,42.323123,101000425812
