,tg,lon,lat,num_year,num_95pcs,corrn,rmse,path
0,"aasiaat,greenland-001-glossdm-bodc.csv",-52.883,68.71,1.0,68,0.7085632855581112,0.07357929891654212,"./eraint/aasiaat,greenland-001.csv"
1,abashiri-japan-jma.csv,144.28,44.016999999999996,36.0,119,0.7934641789811028,0.05183143731893508,./eraint/abashiri-japan.csv
2,aberdeen-p038-uk-bodc.csv,-2.0745,57.143,35.0,74,0.8234086565710446,0.08825856399969674,./eraint/aberdeen-p038-uk.csv
3,abidjan_vridi-230a-ivory_coast-uhslc.csv,-4.0,5.2417,8.0,180,0.2904351520569109,0.04863464317851303,./eraint/abidjan_vridi-230a-ivory_coast.csv
4,aburatsu-japan-jma.csv,131.42,31.566999999999997,36.0,152,0.614233808567001,0.06479986046619855,./eraint/aburatsu-japan.csv
5,acajutla_c-082c-el_salvador-uhslc.csv,-89.833,13.583,34.0,271,0.20623094281513624,0.06995110294630615,./eraint/acajutla_c-082c-el_salvador.csv
6,"acapulco_c,gro.-316c-mexico-uhslc.csv",-99.912,16.84,33.0,268,0.2867404485262556,0.0632132747447672,"./eraint/acapulco_c,gro.-316c-mexico.csv"
7,"adak,alaska-040a-usa-uhslc.csv",-176.63,51.863,35.0,80,0.7944932649788851,0.07630312066665783,"./eraint/adak,alaska-040a-usa.csv"
8,"aden-172a-yemen,_p.d.r-uhslc.csv",44.975,12.788,6.0,141,0.27383348125817397,0.03636765171001685,"./eraint/aden-172a-yemen,_p.d.r.csv"
9,"aguadilla,pr-263a-usa-uhslc.csv",-67.163,18.457,5.0,67,0.3255490066118777,0.031592415109936316,"./eraint/aguadilla,pr-263a-usa.csv"
10,ajaccio_aspretto-france-med-refmar.csv,8.7628,41.923,12.0,150,0.7374632681889276,0.04803680187015613,./eraint/ajaccio_aspretto-france.csv
11,akabane-japan-jma.csv,137.18,34.6,7.0,170,0.6008763067779581,0.0888076821638343,./eraint/akabane-japan.csv
12,akyab__sittwe_-907a-myanmar-uhslc.csv,92.90299999999999,20.14,2.0,86,0.5335914343652054,0.12234786384743425,./eraint/akyab__sittwe_-907a-myanmar.csv
13,alameda_navalairstation_-usa-noaa.csv,-122.3,37.772,36.0,156,0.7554895648384913,0.047831847774827976,./eraint/alameda_navalairstation_-usa.csv
14,albany-001-australia-johnhunter.csv,117.88,-35.024,27.0,67,0.8177647296541467,0.06368378455872238,./eraint/albany-001-australia.csv
15,alcudia-alcudia-spain-pde.csv,3.1392,39.835,5.0,112,0.7575471178032274,0.051205195257584456,./eraint/alcudia-alcudia-spain.csv
16,algeciras-alge-spain-ieo.csv,-5.4333,36.117,34.0,159,0.5689202009439984,0.08170008716261573,./eraint/algeciras-alge-spain.csv
17,almeria-almeria-spain-pde.csv,-2.478,36.83,10.0,152,0.6950401843226426,0.048751041288870416,./eraint/almeria-almeria-spain.csv
18,alotau-069a-papua_new_guinea-uhslc.csv,150.45,-10.168,8.0,67,0.22407326997977406,0.03496334529797684,./eraint/alotau-069a-papua_new_guinea.csv
19,amami-japan-jma.csv,129.53,28.316999999999997,18.0,114,0.5420199761420426,0.05595918820520289,./eraint/amami-japan.csv
20,ambon_b-133b-indonesia-uhslc.csv,128.18,-3.6833,15.0,67,0.34839901447395205,0.05345311836057502,./eraint/ambon_b-133b-indonesia.csv
21,"ammassalik,greenland-001-glossdm-bodc.csv",-37.0,65.5,7.0,86,0.7010398838879638,0.13331841876153713,"./eraint/ammassalik,greenland-001.csv"
22,ammassalik-297a-denmark-uhslc.csv,-37.0,65.6,7.0,81,0.7299774064600142,0.11912602628778406,./eraint/ammassalik-297a-denmark.csv
23,anchorage-usa-noaa.csv,-149.89,61.238,31.0,161,0.5539353861617503,0.1613291506071966,./eraint/anchorage-usa.csv
24,ancona-ancona-italy-idromare.csv,13.505999999999998,43.625,18.0,248,0.7520351842341096,0.0782079291225147,./eraint/ancona-ancona-italy.csv
25,andenes-001-glossdm-bodc.csv,16.15,69.317,13.0,83,0.7843767809329341,0.08592902430424769,./eraint/andenes-001.csv
26,angra_heroismo_b-215b-portugal-uhslc.csv,-27.24,38.65,5.0,46,0.8022889777556628,0.03958918380262404,./eraint/angra_heroismo_b-215b-portugal.csv
27,annapolis_navalacademy_-usa-noaa.csv,-76.482,38.983000000000004,37.0,132,0.7479830535283419,0.10089220835833228,./eraint/annapolis_navalacademy_-usa.csv
28,antofagasta-080a-chile-uhslc.csv,-70.4,-23.65,33.0,136,0.20912834953004475,0.05148529065661446,./eraint/antofagasta-080a-chile.csv
29,apalachicola-usa-noaa.csv,-84.98200000000001,29.726999999999997,20.0,142,0.8060128878935771,0.07882645812389925,./eraint/apalachicola-usa.csv
30,apia_b-401b-western_samoa-uhslc.csv,-171.75,-13.817,20.0,54,0.3260649945440651,0.02904210465255197,./eraint/apia_b-401b-western_samoa.csv
31,arcachon_eyrac-france-refmar.csv,-1.1636,44.665,25.0,120,0.7613785208402031,0.08948223047888619,./eraint/arcachon_eyrac-.csv
32,"arecibo,_pr-735a-usa-uhslc.csv",-66.702,18.48,4.0,61,0.415087435905294,0.03300473451537793,"./eraint/arecibo,_pr-735a-usa.csv"
33,"arena_cove,_ca-573a-usa-uhslc.csv",-123.71,38.913000000000004,18.0,136,0.7521830557343572,0.06529854540670474,"./eraint/arena_cove,_ca-573a-usa.csv"
34,"argentia,nf-00835-canada-meds.csv",-53.983000000000004,47.3,37.0,93,0.6602928597149205,0.0958267280184442,"./eraint/argentia,nf-00835-canada.csv"
35,arica-083a-chile-uhslc.csv,-70.333,-18.467,16.0,239,0.21333915326981148,0.04798976147858273,./eraint/arica-083a-chile.csv
36,arrecife-arre-spain-ieo.csv,-13.53,28.971999999999998,30.0,58,0.36264160696631104,0.07853561435706331,./eraint/arrecife-arre-spain.csv
37,ascension_uk_noc.csv,-14.417,-7.9167,20.0,36,0.21398802119623467,0.023514168378592284,./eraint/ascension_uk.csv
38,"astoria,or-572a-usa-uhslc.csv",-123.77,46.208,35.0,132,0.7779741291256278,0.09019532683317033,"./eraint/astoria,or-572a-usa.csv"
39,atlantic_city-264a-usa-uhslc.csv,-74.418,39.355,35.0,122,0.7890228721947444,0.10069736620523864,./eraint/atlantic_city-264a-usa.csv
40,auckland-070a-new_zealand-uhslc.csv,174.77,-36.85,4.0,77,0.7972726775492568,0.05185048845958884,./eraint/auckland-070a-new_zealand.csv
41,avonmouth-p060-uk-bodc.csv,-2.715,51.511,26.0,69,0.5711256515912323,0.20894813203022947,./eraint/avonmouth-p060-uk.csv
42,awayuki-japan-jma.csv,134.6,33.766999999999996,9.0,153,0.5791550951662512,0.06850177030501851,./eraint/awayuki-japan.csv
43,ayukawa-japan-jma.csv,141.5,38.3,36.0,165,0.7571043818082807,0.04628414740049888,./eraint/ayukawa-japan.csv
44,bahia_los_angeles-310a-mexico-uhslc.csv,-113.55,28.958000000000002,13.0,117,0.344075649126984,0.052635874190775915,./eraint/bahia_los_angeles-310a-mexico.csv
45,bakar-bakar_I-croatia-university_zagreb.csv,14.533,45.3,37.0,260,0.7803040787925001,0.07950673615062598,./eraint/bakar-bakar_I-croatia.csv
46,balboa-302a-panama-uhslc.csv,-79.57300000000002,8.9617,34.0,192,0.21621486330579798,0.0734990370578724,./eraint/balboa-302a-panama.csv
47,baltimore-usa-noaa.csv,-76.578,39.266999999999996,37.0,129,0.7426818694786478,0.10986623042154138,./eraint/baltimore-usa.csv
48,baltra_b-003b-ecuador-uhslc.csv,-90.285,-0.435,27.0,54,0.21488347787449205,0.038900434072423024,./eraint/baltra_b-003b-ecuador.csv
49,"bamfield,bc-08545-canada-meds.csv",-125.14,48.83600000000001,37.0,209,0.6696858271438744,0.09303001424396916,"./eraint/bamfield,bc-08545-canada.csv"
50,bangor-p662-uk-bodc.csv,-5.6695,54.665,19.0,78,0.8043633796544759,0.10725229003808584,./eraint/bangor-p662-uk.csv
51,"barbers_point,hi-547a-usa-uhslc.csv",-158.12,21.32,2.0,47,0.3900207278797715,0.02614424669975456,"./eraint/barbers_point,hi-547a-usa.csv"
52,barcelona-barcelona-spain-pde.csv,2.1630000000000003,41.342,23.0,148,0.7357706145056107,0.05387082483191867,./eraint/barcelona-barcelona-spain.csv
53,"barharbor,frenchmanbay,me-usa-noaa.csv",-68.205,44.391999999999996,37.0,94,0.7170716556931163,0.08254537137568171,"./eraint/barharbor,frenchmanbay,me-usa.csv"
54,bari-bari-italy-idromare.csv,16.912,41.137,30.0,177,0.5127302699890876,0.08807068524566354,./eraint/bari-bari-italy.csv
55,barmouth-p923-uk-bodc.csv,-4.0452,52.718999999999994,24.0,75,0.7558635606661144,0.14784764272778134,./eraint/barmouth-p923-uk.csv
56,barseback-001-sweden-smhi.csv,12.902999999999999,55.756,23.0,83,0.7401653104403179,0.10239477725149276,./eraint/barseback-001-sweden.csv
57,base_prat_b-730b-chile-uhslc.csv,-59.633,-62.483000000000004,29.0,89,0.7966788748507713,0.07134540600269791,./eraint/base_prat_b-730b-chile.csv
58,bayonne_boucau-france-refmar.csv,-1.5148,43.527,36.0,117,0.7660024314598672,0.07899139573102405,./eraint/bayonne_boucau-.csv
59,beihai-636a-china-uhslc.csv,109.08,21.483,20.0,106,0.5813282247564961,0.0956567396393175,./eraint/beihai-636a-china.csv
60,"bellabella,bc-08976-canada-meds.csv",-128.14,52.163000000000004,37.0,167,0.6357116138828782,0.10312394795659464,"./eraint/bellabella,bc-08976-canada.csv"
61,benoa_b-163b-indonesia-uhslc.csv,115.21,-8.745,22.0,96,0.2335423841341028,0.08565390969386716,./eraint/benoa_b-163b-indonesia.csv
62,"bermuda,st.georgesisland-001-glossdm-bodc.csv",-64.7,32.4,18.0,64,0.5447819478640542,0.06981685862490952,"./eraint/bermuda,st.georgesisland-001.csv"
63,bilbao-bilbao-spain-pde.csv,-3.05,43.357,23.0,114,0.796236326146356,0.0554011609253925,./eraint/bilbao-bilbao-spain.csv
64,bintulu-387a-malaysia-uhslc.csv,113.07,3.2167,20.0,343,0.38906267344366574,0.05053977159805312,./eraint/bintulu-387a-malaysia.csv
65,bitung-033a-indonesia-uhslc.csv,125.19,1.44,25.0,97,0.2069701326258039,0.04098297367472334,./eraint/bitung-033a-indonesia.csv
66,bluff-072a-new_zealand-uhslc.csv,168.35,-46.6,30.0,90,0.8497581048008616,0.07091891898707423,./eraint/bluff-072a-new_zealand.csv
67,bonanza-bonanza-spain-pde.csv,-6.34,36.8,23.0,142,0.7668535873823076,0.059825476456226025,./eraint/bonanza-bonanza-spain.csv
68,booby_island-336a-australia-uhslc.csv,141.92,-10.6,26.0,68,0.5868966231395965,0.09054346519106428,./eraint/booby_island-336a-australia.csv
69,"boston,ma-741a-usa-uhslc.csv",-71.05199999999998,42.355,35.0,105,0.7681682868381512,0.08581369272776189,"./eraint/boston,ma-741a-usa.csv"
70,boulogne-sur-mer-france-refmar.csv,1.5777,50.727,36.0,76,0.7243652719585156,0.1483994452950236,./eraint/boulogne-sur-mer-.csv
71,bournemouth-p988-uk-bodc.csv,-1.8749,50.714,17.0,82,0.7499152349681946,0.08640033022096512,./eraint/bournemouth-p988-uk.csv
72,brest-france-refmar.csv,-4.5,48.383,36.0,72,0.7945705928488479,0.08446717560380519,./eraint/brest-.csv
73,bridgeport-usa-noaa.csv,-73.182,41.173,37.0,112,0.7681215717261536,0.10852453936911977,./eraint/bridgeport-usa.csv
74,bridgetown_d-249d-barbados-uhslc.csv,-59.617,13.1,2.0,52,0.1022528705234906,0.07720014025581168,./eraint/bridgetown_d-249d-barbados.csv
75,brisbane-002-australia-johnhunter.csv,153.03,-27.468000000000004,26.0,129,0.5236977003178622,0.06732559794361788,./eraint/brisbane-002-australia.csv
76,brisbane-331a-australia-uhslc.csv,153.17,-27.366999999999997,30.0,137,0.5266808694459139,0.0654376418455792,./eraint/brisbane-331a-australia.csv
77,broome-004-australia-johnhunter.csv,122.24,-17.955,28.0,110,0.4094908825826832,0.07476099978764236,./eraint/broome-004-australia.csv
78,buenaventura-085a-colombia-uhslc.csv,-77.1,3.9,35.0,504,0.14362238640163,0.11344197846304414,./eraint/buenaventura-085a-colombia.csv
79,bunbury-006-australia-johnhunter.csv,115.64,-33.327,27.0,69,0.8256008022418184,0.07785928560781648,./eraint/bunbury-006-australia.csv
