,tg,lon,lat,num_year,num_95pcs,corrn,rmse
0,"aasiaat,greenland-001-glossdm-bodc.csv",-52.883,68.71,1.0,68,0.7085632855581112,0.07357929891654212
0,abashiri-japan-jma.csv,144.28,44.017,36.0,119,0.7934641789811028,0.05183143731893508
0,aberdeen-p038-uk-bodc.csv,-2.0745,57.143,35.0,74,0.8234086565710446,0.08825856399969674
0,abidjan_vridi-230a-ivory_coast-uhslc.csv,-4,5.2417,8.0,180,0.29043515205691095,0.04863464317851303
0,aburatsu-japan-jma.csv,131.42,31.567,36.0,152,0.614233808567001,0.06479986046619855
0,acajutla_c-082c-el_salvador-uhslc.csv,-89.833,13.583,34.0,271,0.20623094281513626,0.06995110294630615
0,"acapulco_c,gro.-316c-mexico-uhslc.csv",-99.912,16.84,33.0,268,0.2867404485262556,0.0632132747447672
0,"adak,alaska-040a-usa-uhslc.csv",-176.63,51.863,35.0,80,0.794493264978885,0.07630312066665783
0,"aden-172a-yemen,_p.d.r-uhslc.csv",44.975,12.788,6.0,141,0.273833481258174,0.036367651710016845
0,"aguadilla,pr-263a-usa-uhslc.csv",-67.163,18.457,5.0,67,0.3255490066118777,0.031592415109936316
0,ajaccio_aspretto-france-med-refmar.csv,8.7628,41.923,12.0,150,0.7374632681889276,0.04803680187015613
0,akabane-japan-jma.csv,137.18,34.6,7.0,170,0.6008763067779581,0.0888076821638343
0,akyab__sittwe_-907a-myanmar-uhslc.csv,92.903,20.14,2.0,86,0.5335914343652054,0.12234786384743426
0,alameda_navalairstation_-usa-noaa.csv,-122.3,37.772,36.0,156,0.7554895648384913,0.047831847774827976
0,albany-001-australia-johnhunter.csv,117.88,-35.024,27.0,67,0.8177647296541467,0.06368378455872237
0,alcudia-alcudia-spain-pde.csv,3.1392,39.835,5.0,112,0.7575471178032274,0.051205195257584456
0,algeciras-alge-spain-ieo.csv,-5.4333,36.117,34.0,159,0.5689202009439984,0.08170008716261574
0,almeria-almeria-spain-pde.csv,-2.478,36.83,10.0,152,0.6950401843226426,0.04875104128887042
0,alotau-069a-papua_new_guinea-uhslc.csv,150.45,-10.168,8.0,67,0.22407326997977403,0.03496334529797684
0,amami-japan-jma.csv,129.53,28.317,18.0,114,0.5420199761420426,0.05595918820520289
0,ambon_b-133b-indonesia-uhslc.csv,128.18,-3.6833,15.0,67,0.34839901447395205,0.05345311836057502
0,"ammassalik,greenland-001-glossdm-bodc.csv",-37,65.5,7.0,86,0.7010398838879638,0.13331841876153713
0,ammassalik-297a-denmark-uhslc.csv,-37,65.6,7.0,81,0.7299774064600142,0.11912602628778404
0,anchorage-usa-noaa.csv,-149.89,61.238,31.0,161,0.5539353861617503,0.1613291506071966
