,tg,lon,lat,normality,trend_mm_year_reg,trend_mm_year_mk,pval_reg,pval_mk,dw,stderr,regSig,mkSig
0,aberdeen_p038_uk.csv,-2.0745,57.143,True,0.540679982788595,0.5411227250799963,5.462118529287946e-12,0.0,1.7052530025628203,7.843879542784207e-05,True,True
0,annapolis_navalacademy__usa.csv,-76.482,38.983,True,0.21472666560543432,0.23173931878903659,0.0010732418598456504,0.002343175052280211,1.7032216364761137,6.565384352176642e-05,True,True
0,apalachicola_usa.csv,-84.98200000000001,29.727,True,0.12254772506467175,0.12917607069016368,0.026261852378962728,0.004469155346657594,2.0624876341414593,5.5144110532204265e-05,True,True
0,atlantic_city_264a_usa.csv,-74.418,39.355,True,0.2313999896447561,0.25776433900563817,2.0928240104919037e-05,1.108876768185496e-09,1.9539263483579612,5.4386267464865554e-05,True,True
0,baltimore_usa.csv,-76.578,39.267,True,0.17722721086983909,0.1808645566027735,0.000743099589072923,0.0014421380782361215,1.7875128180991624,5.254036432492802e-05,True,True
0,barcelona_barcelona_spain.csv,2.1630000000000003,41.342,True,-0.020745047482641565,-0.03830296819749675,0.4984263358102904,0.19567207443737167,1.8735592485867931,3.064406478513392e-05,False,False
0,barmouth_p923_uk.csv,-4.0452,52.719,True,0.43977739644134406,0.4607401997405607,6.349905444812827e-07,6.526127015460403e-06,2.0404098465263503,8.830411193983164e-05,True,True
0,bonanza_bonanza_spain.csv,-6.34,36.8,True,0.0010007667307400324,-0.017994682364276524,0.9854605332345098,0.8324233549535172,2.1177021214351903,5.491619067842062e-05,False,False
0,"boston,ma_741a_usa.csv",-71.05199999999998,42.355,True,0.20233561043162185,0.18682658042525843,7.49990389012795e-06,0.0004902106072810497,2.153056803168336,4.517444036028024e-05,True,True
0,boulogne_sur_mer_.csv,1.5777,50.727,True,0.3295403578586881,0.37419135536139414,0.000317997278495375,0.00017548050141935612,1.7863635276562702,9.153441804957172e-05,True,True
0,bournemouth_p988_uk.csv,-1.8749,50.714,True,0.1388701741404258,0.15558746674891571,0.0019431912816082243,0.004887490698413988,1.8181149123463174,4.4814464220675736e-05,True,True
0,bridgeport_usa.csv,-73.182,41.173,True,0.052884989014695086,0.04810393015779585,0.21647389481898582,0.23871237243649057,1.9628557220580762,4.278863574476384e-05,False,False
0,cagliari_cagliari_italy.csv,9.1143,39.21,True,-0.019440697945437544,-0.029476452953694648,0.41524369005103823,0.08846947708992325,1.9883631701035194,2.3862382230379963e-05,False,False
0,calais_.csv,1.8677,50.969,True,0.3672068955240172,0.3750095438613598,0.0002661114861079938,1.1958122909883073e-05,1.8175400389000835,0.00010070853317880133,True,True
